date,highsulfur,lowsulfur
01/Jan/2019,340,392.62051
02/Jan/2019,332.5,385.953
03/Jan/2019,343,399.16101
04/Jan/2019,362,419.0365
07/Jan/2019,372,434.02249
08/Jan/2019,368,431.92697
09/Jan/2019,378,439.547
10/Jan/2019,387,449.07202
11/Jan/2019,393,461.4545
14/Jan/2019,380,447.54803
15/Jan/2019,374,445.8335
16/Jan/2019,383,451.61203
17/Jan/2019,384,452.62799
18/Jan/2019,389,455.80298
21/Jan/2019,397,457.96201
22/Jan/2019,399,457.8985
23/Jan/2019,397,456.37451
24/Jan/2019,393.5,450.34198
25/Jan/2019,396,455.80298
28/Jan/2019,392,448.564
29/Jan/2019,387,444.05551
30/Jan/2019,401,458.34299
31/Jan/2019,405,461.13702
01/Feb/2019,398.5,454.40598
04/Feb/2019,407.5,464.12149
05/Feb/2019,407.5,464.12149
06/Feb/2019,407.5,464.12149
07/Feb/2019,410,464.69299
08/Feb/2019,408,460.6925
11/Feb/2019,407.5,467.995
12/Feb/2019,407.5,465.89951
13/Feb/2019,415,473.7735
14/Feb/2019,427,485.5845
15/Feb/2019,420,490.60101
18/Feb/2019,428.5,504.1265
19/Feb/2019,426,501.07852
20/Feb/2019,421,497.71298
21/Feb/2019,425,503.61847
22/Feb/2019,425.5,508.3175
25/Feb/2019,420,507.36502
26/Feb/2019,408.5,494.15701
27/Feb/2019,414.5,502.09451
28/Feb/2019,421,505.90448
01/Mar/2019,432,511.68301
04/Mar/2019,432,501.396
05/Mar/2019,432,502.03098
06/Mar/2019,429,501.26901
07/Mar/2019,432,503.42798
08/Mar/2019,423.5,500.57053
11/Mar/2019,430,505.0155
12/Mar/2019,429,504.1265
13/Mar/2019,429,500.3165
14/Mar/2019,433,504.1265
15/Mar/2019,426,503.74551
18/Mar/2019,423,499.30048
19/Mar/2019,423,502.09451
20/Mar/2019,423.5,505.84103
21/Mar/2019,421.5,509.96848
22/Mar/2019,417,500.82452
25/Mar/2019,408,494.66501
26/Mar/2019,417.5,501.26901
27/Mar/2019,419.12,500.50699
28/Mar/2019,417.5,495.80801
29/Mar/2019,420,497.14151
01/Apr/2019,424,503.36447
02/Apr/2019,422,502.47549
03/Apr/2019,428.5,507.87302
04/Apr/2019,423,501.396
05/Apr/2019,413.5,502.91998
08/Apr/2019,424,516.38202
09/Apr/2019,427.5,518.79498
10/Apr/2019,418,515.49298
11/Apr/2019,418.25,522.73199
12/Apr/2019,425.25,521.84302
15/Apr/2019,422,519.17603
16/Apr/2019,414.5,516.82648
17/Apr/2019,421,524.06549
18/Apr/2019,419.5,519.62048
19/Apr/2019,419.5,519.62048
22/Apr/2019,432,529.39954
23/Apr/2019,428,530.66949
24/Apr/2019,433.5,530.987
25/Apr/2019,449,531.93945
26/Apr/2019,439,525.2085
29/Apr/2019,427,512.50848
30/Apr/2019,434,517.271
01/May/2019,434,517.271
02/May/2019,425,521.52551
03/May/2019,413,517.90601
06/May/2019,409,514.54047
07/May/2019,414,519.87451
08/May/2019,406.5,511.30197
09/May/2019,408.25,511.42902
10/May/2019,413.5,516.19153
13/May/2019,414,522.224
14/May/2019,399,511.8735
15/May/2019,399,519.62048
16/May/2019,414,531.17749
17/May/2019,421,534.47949
20/May/2019,421,534.47949
21/May/2019,417.5,525.2085
22/May/2019,412,517.96948
23/May/2019,401,510.09552
24/May/2019,394,493.33151
27/May/2019,394.5,495.04599
28/May/2019,398,507.49197
29/May/2019,393,496.2525
30/May/2019,396.5,494.91901
31/May/2019,386,475.996
03/Jun/2019,366,451.86603
04/Jun/2019,367.25,450.15149
05/Jun/2019,367.25,450.15149
06/Jun/2019,369.5,444.37302
07/Jun/2019,386.5,452.31052
10/Jun/2019,382,456.81903
11/Jun/2019,378.5,451.67548
12/Jun/2019,364.75,448.3735
13/Jun/2019,359,450.27853
14/Jun/2019,357,449.89749
17/Jun/2019,366,456.43799
18/Jun/2019,360,447.92902
19/Jun/2019,373.5,456.62851
20/Jun/2019,378,466.59802
21/Jun/2019,385,476.18649
24/Jun/2019,391,480.06
25/Jun/2019,392,473.90048
26/Jun/2019,398,483.55252
27/Jun/2019,412,485.8385
28/Jun/2019,418,482.66351
01/Jul/2019,427.5,492.63303
02/Jul/2019,410,484.505
03/Jul/2019,406,466.78851
04/Jul/2019,419,471.61447
05/Jul/2019,430,469.32852
08/Jul/2019,430,478.28201
09/Jul/2019,439,474.66251
10/Jul/2019,459,486.664
11/Jul/2019,499,504.95197
12/Jul/2019,478,500.18948
15/Jul/2019,459,496.82397
16/Jul/2019,441,493.2045
17/Jul/2019,447,485.521
18/Jul/2019,443,478.53601
19/Jul/2019,448,478.28201
22/Jul/2019,445,488.315
23/Jul/2019,431,481.58398
24/Jul/2019,434.67999,489.52148
25/Jul/2019,430,487.172
26/Jul/2019,438,485.14001
29/Jul/2019,440,484.06052
30/Jul/2019,445,491.23599
31/Jul/2019,457,499.23703
01/Aug/2019,452.5,492.56949
02/Aug/2019,412,473.2655
05/Aug/2019,399,467.74103
06/Aug/2019,389,461.96249
07/Aug/2019,357,456.18399
08/Aug/2019,333,447.42099
09/Aug/2019,333,447.42099
12/Aug/2019,333,447.42099
13/Aug/2019,328,458.978
14/Aug/2019,343,473.13852
15/Aug/2019,324,465.70898
16/Aug/2019,332,459.48599
19/Aug/2019,338,459.67648
20/Aug/2019,343,461.4545
21/Aug/2019,345,462.5975
22/Aug/2019,361,464.2485
23/Aug/2019,366,456.62851
26/Aug/2019,373,454.78702
27/Aug/2019,390,452.37399
28/Aug/2019,420,459.2955
29/Aug/2019,405,465.328
30/Aug/2019,414,468.50299
02/Sep/2019,393,456.69199
03/Sep/2019,373,450.08798
04/Sep/2019,382,454.59647
05/Sep/2019,388.20001,467.67752
06/Sep/2019,421.85001,467.55048
09/Sep/2019,417.76999,472.82098
10/Sep/2019,441.85001,480.63153
11/Sep/2019,410,483.29849
12/Sep/2019,452.75,474.72601
13/Sep/2019,478,463.04199
16/Sep/2019,520,499.30048
17/Sep/2019,645,524.25598
18/Sep/2019,525,493.83948
19/Sep/2019,495,494.47452
20/Sep/2019,535,501.96753
23/Sep/2019,480,497.71298
24/Sep/2019,430,495.61752
25/Sep/2019,450,483.48898
26/Sep/2019,460,485.77499
27/Sep/2019,442,490.02948
30/Sep/2019,390,484.31448
01/Oct/2019,381,481.01251
02/Oct/2019,378,476.44049
03/Oct/2019,375,464.31201
04/Oct/2019,359,466.53452
07/Oct/2019,318,467.10599
08/Oct/2019,312,467.74103
09/Oct/2019,305,467.233
10/Oct/2019,315,468.24899
11/Oct/2019,345,483.55252
14/Oct/2019,330,474.34497
15/Oct/2019,322,463.29599
16/Oct/2019,321,465.13751
17/Oct/2019,335,467.74103
18/Oct/2019,336,466.59802
21/Oct/2019,346,462.91501
22/Oct/2019,348,461.4545
23/Oct/2019,360,460.88303
24/Oct/2019,375,467.74103
25/Oct/2019,371,475.04349
28/Oct/2019,371,475.04349
29/Oct/2019,362,468.43948
30/Oct/2019,370,466.28049
31/Oct/2019,380,462.026
01/Nov/2019,377,453.26297
04/Nov/2019,385,467.86801
05/Nov/2019,365,469.9635
06/Nov/2019,358,466.09
07/Nov/2019,335,460.88303
08/Nov/2019,320,453.39001
11/Nov/2019,322,453.19952
12/Nov/2019,307.75,455.99347
13/Nov/2019,265,447.67499
14/Nov/2019,260,458.1525
15/Nov/2019,265,460.375
18/Nov/2019,270,463.80402
19/Nov/2019,265,451.0405
20/Nov/2019,235,440.30899
21/Nov/2019,241,449.961
22/Nov/2019,250.5,462.66101
25/Nov/2019,253,461.51801
26/Nov/2019,250,462.97852
27/Nov/2019,260,469.89999
28/Nov/2019,255,466.15353
29/Nov/2019,250,468.0585
02/Dec/2019,228,454.59647
03/Dec/2019,240,455.168
04/Dec/2019,248,455.67603
05/Dec/2019,253,463.29599
06/Dec/2019,260,471.55103
09/Dec/2019,268,472.75748
10/Dec/2019,278,469.7095
11/Dec/2019,292,471.86847
12/Dec/2019,283,471.10651
13/Dec/2019,287,478.34552
16/Dec/2019,282,487.04498
17/Dec/2019,290,492.82352
18/Dec/2019,300,495.29999
19/Dec/2019,298,492.50598
20/Dec/2019,325,499.23703
23/Dec/2019,311,492.95047
24/Dec/2019,310,495.23648
25/Dec/2019,310,495.23648
26/Dec/2019,301,502.285
27/Dec/2019,319,507.93649
30/Dec/2019,324,508.254
31/Dec/2019,331.89999,505.07901
01/Jan/2020,331.89999,505.07901
02/Jan/2020,330,499.99899
03/Jan/2020,353.35001,513.7785
06/Jan/2020,376.14999,517.14404
07/Jan/2020,369.63,504.31699
08/Jan/2020,379.60001,511.68301
09/Jan/2020,366,493.64899
10/Jan/2020,364.60999,486.72751
13/Jan/2020,371.13,482.47302
14/Jan/2020,348,470.09048
15/Jan/2020,340,469.83649
16/Jan/2020,340,465.77249
17/Jan/2020,345,466.85199
20/Jan/2020,355,472.69403
21/Jan/2020,348,467.67752
22/Jan/2020,350,464.37549
23/Jan/2020,353,453.96149
24/Jan/2020,351,454.15198
27/Jan/2020,351,454.15198
28/Jan/2020,319,419.86203
29/Jan/2020,339,433.832
30/Jan/2020,327,420.62399
31/Jan/2020,320,421.005
03/Feb/2020,285,408.49551
04/Feb/2020,310,406.08252
05/Feb/2020,305,399.8595
06/Feb/2020,304,417.63947
07/Feb/2020,298.5,416.17902
10/Feb/2020,290,405.19351
11/Feb/2020,292,405.51102
12/Feb/2020,295,413.57547
13/Feb/2020,302,413.19449
14/Feb/2020,306,417.38553
17/Feb/2020,310,416.11548
18/Feb/2020,298,411.353
19/Feb/2020,305,413.57547
20/Feb/2020,308,420.62399
21/Feb/2020,315,413.89301
24/Feb/2020,300,402.59
25/Feb/2020,294,397.9545
26/Feb/2020,280,381.19049
27/Feb/2020,273,359.21951
28/Feb/2020,268,358.14001
02/Mar/2020,282,371.34799
03/Mar/2020,270,375.285
04/Mar/2020,265,368.61749
05/Mar/2020,272,368.04599
06/Mar/2020,258,353.82202
09/Mar/2020,187,280.47949
10/Mar/2020,195,292.16348
11/Mar/2020,190,297.815
12/Mar/2020,174,278.25699
13/Mar/2020,195,278.32053
16/Mar/2020,182,249.30099
17/Mar/2020,181,248.539
18/Mar/2020,171,232.60051
19/Mar/2020,161,221.4245
20/Mar/2020,188,252.53951
23/Mar/2020,170,224.3455
24/Mar/2020,172,239.26801
25/Mar/2020,170,240.66501
26/Mar/2020,169,230.50499
27/Mar/2020,168,231.14001
30/Mar/2020,160,231.64799
31/Mar/2020,164,227.711
01/Apr/2020,157.25,212.09001
02/Apr/2020,165,211.07401
03/Apr/2020,170,208.34351
06/Apr/2020,183,219.3925
07/Apr/2020,186,213.0425
08/Apr/2020,183,209.93102
09/Apr/2020,183,209.35951
10/Apr/2020,183,209.35951
13/Apr/2020,178,193.802
14/Apr/2020,178,196.4055
15/Apr/2020,149,179.1335
16/Apr/2020,154,186.944
17/Apr/2020,160,191.64301
20/Apr/2020,150,187.3885
21/Apr/2020,135,152.7175
22/Apr/2020,120,128.524
23/Apr/2020,140,153.67
24/Apr/2020,135,144.46249
27/Apr/2020,136,140.20799
28/Apr/2020,132,133.1595
29/Apr/2020,120,148.209
30/Apr/2020,135,171.70401
01/May/2020,135,171.70401
04/May/2020,134,165.79851
05/May/2020,155,167.259
06/May/2020,155,190.18251
07/May/2020,155,190.18251
08/May/2020,153,182.6895
11/May/2020,155,193.03999
12/May/2020,146,188.4045
13/May/2020,146,180.086
14/May/2020,156,188.65849
15/May/2020,166,203.26349
18/May/2020,175,221.23399
19/May/2020,195,228.34599
20/May/2020,190,228.60001
21/May/2020,200,236.7915
22/May/2020,188,222.18651
25/May/2020,188,222.18651
26/May/2020,202,243.14151
27/May/2020,187,238.50601
28/May/2020,185,225.99651
29/May/2020,188,226.44099
01/Jun/2020,207,247.90401
02/Jun/2020,218,256.4765
03/Jun/2020,225,261.23898
04/Jun/2020,229,258.00052
05/Jun/2020,237,259.58801
08/Jun/2020,249,281.30499
09/Jun/2020,235,275.20901
10/Jun/2020,237,284.98801
11/Jun/2020,236,285.11502
12/Jun/2020,219,269.17648
15/Jun/2020,219,271.14502
16/Jun/2020,231,286.8295
17/Jun/2020,230,296.48151
18/Jun/2020,226,291.33801
19/Jun/2020,226.5,303.65701
22/Jun/2020,236,299.08499
23/Jun/2020,240,304.673
24/Jun/2020,235,297.43399
25/Jun/2020,223,287.84552
26/Jun/2020,235,294.13199
29/Jun/2020,230,285.68652
30/Jun/2020,240,295.021
01/Jul/2020,240,301.18051
02/Jul/2020,244,306.5145
03/Jul/2020,240,306.578
06/Jul/2020,251,312.48349
07/Jul/2020,253,305.81601
08/Jul/2020,264,305.87949
09/Jul/2020,264,308.67349
10/Jul/2020,264,308.67349
13/Jul/2020,260,307.9115
14/Jul/2020,254,303.8475
15/Jul/2020,261,310.134
16/Jul/2020,261,306.07001
17/Jul/2020,258,305.7525
20/Jul/2020,260,302.76801
21/Jul/2020,260,312.73749
22/Jul/2020,265,315.91251
23/Jul/2020,268,319.59552
24/Jul/2020,262.75,307.84799
27/Jul/2020,263,308.41949
28/Jul/2020,269,311.14999
29/Jul/2020,273,310.76898
30/Jul/2020,269,309.49902
31/Jul/2020,269,309.49902
03/Aug/2020,261,301.24399
04/Aug/2020,256,299.02151
05/Aug/2020,262,307.72101
06/Aug/2020,265,308.1655
07/Aug/2020,261,306.0065
10/Aug/2020,261,306.0065
11/Aug/2020,267,308.229
12/Aug/2020,270,306.578
13/Aug/2020,271,306.89551
14/Aug/2020,268,302.7045
17/Aug/2020,270.5,304.54599
18/Aug/2020,280,305.4985
19/Aug/2020,277,305.37149
20/Aug/2020,280.25,301.9425
21/Aug/2020,276.75,298.8945
24/Aug/2020,271,298.51349
25/Aug/2020,276,303.08551
26/Aug/2020,282,305.24451
27/Aug/2020,280,302.51401
28/Aug/2020,277,293.81451
31/Aug/2020,281,303.276
01/Sep/2020,278,297.7515
02/Sep/2020,280,298.76749
03/Sep/2020,265,281.43201
04/Sep/2020,270,283.0195
07/Sep/2020,259,272.0975
08/Sep/2020,254,266.76349
09/Sep/2020,242,260.35001
10/Sep/2020,245,261.17551
11/Sep/2020,244,259.07999
14/Sep/2020,245,261.55649
15/Sep/2020,246,260.47699
16/Sep/2020,261,269.11301
17/Sep/2020,260,268.03351
18/Sep/2020,263,279.4635
21/Sep/2020,255,271.78
22/Sep/2020,252,267.90649
23/Sep/2020,250,265.4935
24/Sep/2020,249.75,262.89001
25/Sep/2020,255,269.17648
28/Sep/2020,251,264.668
29/Sep/2020,252,270.89099
30/Sep/2020,248,267.01749
01/Oct/2020,253,272.79599
02/Oct/2020,238,258.064
05/Oct/2020,241,263.08051
06/Oct/2020,250,271.46249
07/Oct/2020,253,280.035
08/Oct/2020,255,278.76501
09/Oct/2020,261.85001,284.099
12/Oct/2020,259,275.71698
13/Oct/2020,260,278.13
14/Oct/2020,262,275.78049
15/Oct/2020,273,281.55899
16/Oct/2020,274,276.1615
19/Oct/2020,273,274.57401
20/Oct/2020,272,270.82751
21/Oct/2020,273,271.46249
22/Oct/2020,273,269.11301
23/Oct/2020,280,268.5415
26/Oct/2020,263,256.92099
27/Oct/2020,260,264.9855
28/Oct/2020,259,262.12799
29/Oct/2020,256,258.3815
30/Oct/2020,246.5,253.04749
02/Nov/2020,246.5,241.173
03/Nov/2020,262,263.52499
04/Nov/2020,260,264.60449
05/Nov/2020,270,273.11349
06/Nov/2020,266,271.78
09/Nov/2020,267,272.8595
10/Nov/2020,281,291.14749
11/Nov/2020,292,306.2605
12/Nov/2020,290,299.1485
13/Nov/2020,286,292.92551
16/Nov/2020,288,297.561
17/Nov/2020,299,298.19598
18/Nov/2020,290,301.24399
19/Nov/2020,290.5,303.022
20/Nov/2020,292,303.53
23/Nov/2020,298,311.27701
24/Nov/2020,299,316.6745
25/Nov/2020,304,327.78699
26/Nov/2020,303,326.13602
27/Nov/2020,299,317.246
30/Nov/2020,298,323.15149
01/Dec/2020,297,326.64398
02/Dec/2020,294,320.67499
03/Dec/2020,304,328.29501
04/Dec/2020,303,338.328
07/Dec/2020,297,329.69199
08/Dec/2020,294,333.75601
09/Dec/2020,298,340.55051
10/Dec/2020,295,335.34351
11/Dec/2020,297,345.3765
14/Dec/2020,303,349.25
15/Dec/2020,305,346.2655
16/Dec/2020,311,349.31348
17/Dec/2020,318.5,355.854
18/Dec/2020,316,354.64749
21/Dec/2020,310,348.4245
22/Dec/2020,303,344.17001
23/Dec/2020,300,344.80499
24/Dec/2020,310,356.55252
25/Dec/2020,310,356.55252
28/Dec/2020,309,354.26651
29/Dec/2020,309,354.90149
30/Dec/2020,309,353.44101
31/Dec/2020,305,353.1235
01/Jan/2021,305,353.1235
04/Jan/2021,317,361.88651
05/Jan/2021,306,345.1225
06/Jan/2021,323,359.85449
07/Jan/2021,330,362.71201
08/Jan/2021,329,367.15701
11/Jan/2021,335,370.64951
12/Jan/2021,336,376.68201
13/Jan/2021,341,382.14301
14/Jan/2021,336,381.63498
15/Jan/2021,330,379.22202
18/Jan/2021,323,371.6655
19/Jan/2021,327,376.30099
20/Jan/2021,335,381.63498
21/Jan/2021,330,376.1105
22/Jan/2021,330,371.22101
25/Jan/2021,330,374.142
26/Jan/2021,330,372.99902
27/Jan/2021,335,377.1265
28/Jan/2021,329,374.77701
29/Jan/2021,327,373.50699
01/Feb/2021,333,377.698
02/Feb/2021,343,388.81049
03/Feb/2021,346,395.28751
04/Feb/2021,350,399.3515
05/Feb/2021,354,404.5585
08/Feb/2021,359,410.33701
09/Feb/2021,362,418.211
10/Feb/2021,360,418.90952
11/Feb/2021,362,418.02051
12/Feb/2021,362,418.02051
15/Feb/2021,373,430.8475
16/Feb/2021,372,430.46649
17/Feb/2021,373,430.8475
18/Feb/2021,378,437.38797
19/Feb/2021,362,427.2915
22/Feb/2021,364,429.32352
23/Feb/2021,380.5,444.88098
24/Feb/2021,375,438.785
25/Feb/2021,389,452.88199
26/Feb/2021,383,443.67453
01/Mar/2021,384,442.34103
02/Mar/2021,369,423.54498
03/Mar/2021,368.5,426.46603
04/Mar/2021,375,432.18097
05/Mar/2021,398,448.94498
08/Mar/2021,411,459.61298
09/Mar/2021,402,447.10352
10/Mar/2021,394,442.21399
11/Mar/2021,400,448.11951
12/Mar/2021,403,455.168
15/Mar/2021,409,457.83499
16/Mar/2021,400,446.78601
17/Mar/2021,401,447.61148
18/Mar/2021,394,439.10251
19/Mar/2021,375,418.08398
22/Mar/2021,375,423.79898
23/Mar/2021,371,416.814
24/Mar/2021,365,407.22549
25/Mar/2021,368,416.49649
26/Mar/2021,370,413.004
29/Mar/2021,371,418.59198
30/Mar/2021,370,421.57651
31/Mar/2021,368,419.92548
01/Apr/2021,358,407.35251
02/Apr/2021,358,407.35251
05/Apr/2021,362,416.56
06/Apr/2021,357,416.6235
07/Apr/2021,351,412.94049
08/Apr/2021,352,415.16299
09/Apr/2021,348,413.0675
12/Apr/2021,353,416.8775
13/Apr/2021,361,417.957
14/Apr/2021,370,425.38647
15/Apr/2021,380,435.73703
16/Apr/2021,385,440.88049
19/Apr/2021,383.5,439.10251
20/Apr/2021,389,442.15048
21/Apr/2021,380,430.33948
22/Apr/2021,374,424.11652
23/Apr/2021,376.5,430.022
26/Apr/2021,371,427.92648
27/Apr/2021,376,433.70502
28/Apr/2021,376,435.229
29/Apr/2021,386,443.61099
30/Apr/2021,387,448.24649
03/May/2021,381,440.05502
04/May/2021,387,449.13553
05/May/2021,392,461.64499
06/May/2021,389.5,458.1525
07/May/2021,382,450.72302
10/May/2021,383,459.10501
11/May/2021,372,451.86603
12/May/2021,381.5,460.43851
13/May/2021,381.5,460.43851
14/May/2021,366.5,448.88153
17/May/2021,372,462.15298
18/May/2021,373,470.40802
19/May/2021,360,456.75549
20/May/2021,357,451.61203
21/May/2021,345,438.08649
