date,dirty_tanker,clean_tanker
01/Jan/2019,1252,813
02/Jan/2019,1009,666
03/Jan/2019,999,657
04/Jan/2019,982,656
07/Jan/2019,973,666
08/Jan/2019,967,684
09/Jan/2019,957,683
10/Jan/2019,930,674
11/Jan/2019,929,667
14/Jan/2019,925,659
15/Jan/2019,920,655
16/Jan/2019,920,655
17/Jan/2019,891,665
18/Jan/2019,873,661
21/Jan/2019,875,659
22/Jan/2019,868,664
23/Jan/2019,866,668
24/Jan/2019,875,668
25/Jan/2019,877,672
28/Jan/2019,874,669
29/Jan/2019,872,667
30/Jan/2019,859,659
31/Jan/2019,848,653
01/Feb/2019,843,649
04/Feb/2019,824,640
05/Feb/2019,806,636
06/Feb/2019,805,633
07/Feb/2019,797,629
08/Feb/2019,795,624
11/Feb/2019,791,618
12/Feb/2019,790,624
13/Feb/2019,798,618
14/Feb/2019,806,613
15/Feb/2019,818,609
18/Feb/2019,819,605
19/Feb/2019,828,607
20/Feb/2019,831,605
21/Feb/2019,828,594
22/Feb/2019,823,595
25/Feb/2019,801,588
26/Feb/2019,799,583
27/Feb/2019,796,580
28/Feb/2019,781,576
01/Mar/2019,774,575
04/Mar/2019,762,581
05/Mar/2019,754,585
06/Mar/2019,753,584
07/Mar/2019,747,577
08/Mar/2019,742,575
11/Mar/2019,737,575
12/Mar/2019,743,580
13/Mar/2019,740,588
14/Mar/2019,737,603
15/Mar/2019,735,606
18/Mar/2019,730,613
19/Mar/2019,715,627
20/Mar/2019,705,634
21/Mar/2019,700,650
22/Mar/2019,695,669
25/Mar/2019,688,684
26/Mar/2019,678,703
27/Mar/2019,663,723
28/Mar/2019,651,744
29/Mar/2019,648,737
01/Apr/2019,640,734
02/Apr/2019,632,709
03/Apr/2019,623,676
04/Apr/2019,618,644
05/Apr/2019,617,614
08/Apr/2019,610,604
09/Apr/2019,618,600
10/Apr/2019,620,596
11/Apr/2019,634,592
12/Apr/2019,639,586
15/Apr/2019,639,577
16/Apr/2019,643,574
17/Apr/2019,652,584
18/Apr/2019,653,576
19/Apr/2019,653,576
22/Apr/2019,653,576
23/Apr/2019,644,571
24/Apr/2019,636,573
25/Apr/2019,635,586
26/Apr/2019,640,584
29/Apr/2019,638,581
30/Apr/2019,634,567
01/May/2019,634,567
02/May/2019,638,546
03/May/2019,645,536
06/May/2019,645,536
07/May/2019,662,514
08/May/2019,672,523
09/May/2019,680,521
10/May/2019,697,516
13/May/2019,703,510
14/May/2019,704,505
15/May/2019,697,504
16/May/2019,683,507
17/May/2019,678,512
20/May/2019,674,516
21/May/2019,673,521
22/May/2019,672,522
23/May/2019,666,524
24/May/2019,665,527
27/May/2019,665,527
28/May/2019,658,539
29/May/2019,651,541
30/May/2019,643,538
31/May/2019,636,537
03/Jun/2019,634,523
04/Jun/2019,633,515
05/Jun/2019,632,518
06/Jun/2019,635,521
07/Jun/2019,643,521
10/Jun/2019,645,517
11/Jun/2019,654,507
12/Jun/2019,653,499
13/Jun/2019,657,494
14/Jun/2019,662,491
17/Jun/2019,668,492
18/Jun/2019,677,495
19/Jun/2019,676,498
20/Jun/2019,681,505
21/Jun/2019,679,510
24/Jun/2019,678,543
25/Jun/2019,679,550
26/Jun/2019,678,543
27/Jun/2019,677,536
28/Jun/2019,680,539
01/Jul/2019,679,543
02/Jul/2019,673,547
03/Jul/2019,660,551
04/Jul/2019,652,545
05/Jul/2019,650,542
08/Jul/2019,645,536
09/Jul/2019,640,529
10/Jul/2019,633,524
11/Jul/2019,631,525
