date,containers,bulk
01/Jan/2019,910.81,1271
08/Jan/2019,940.85999,1262
15/Jan/2019,940.08002,1096
22/Jan/2019,968.07001,1036
29/Jan/2019,945.44,797
05/Feb/2019,934.44,629
12/Feb/2019,934.44,598
19/Feb/2019,888.28998,635
26/Feb/2019,847.75,649
05/Mar/2019,803.71002,663
12/Mar/2019,766.91998,647
19/Mar/2019,742.09998,712
26/Mar/2019,727.88,683
02/Apr/2019,793.48999,674
09/Apr/2019,792.25,725
16/Apr/2019,782.46002,749
23/Apr/2019,761.73999,821
30/Apr/2019,778,1011
07/May/2019,778,936
14/May/2019,756.88,1043
21/May/2019,726.22998,1049
28/May/2019,723.92999,1082
04/Jun/2019,782.12,1122
11/Jun/2019,782.12,1105
18/Jun/2019,779.12,1135
25/Jun/2019,764.46002,1280
02/Jul/2019,829.70001,1446
09/Jul/2019,810.90997,1759
16/Jul/2019,817.40997,2011
23/Jul/2019,790.77002,2165
30/Jul/2019,788.92999,1899
06/Aug/2019,830.94,1734
13/Aug/2019,822.09003,1864
20/Aug/2019,803.82001,2059
27/Aug/2019,774.62,2213
03/Sep/2019,819.65002,2501
10/Sep/2019,795.04999,2393
17/Sep/2019,765.78998,2283
24/Sep/2019,734.09003,2116
01/Oct/2019,722.90002,1809
08/Oct/2019,722.90002,1801
15/Oct/2019,715.96997,1898
22/Oct/2019,746.63,1806
29/Oct/2019,774.27002,1802
05/Nov/2019,847.10999,1656
12/Nov/2019,837.98999,1354
19/Nov/2019,797.78003,1304
26/Nov/2019,765.46997,1426
03/Dec/2019,819.63,1606
10/Dec/2019,850.27002,1528
17/Dec/2019,880.44,1281
24/Dec/2019,904.83002,1090
31/Dec/2019,958.57001,1090
07/Jan/2020,1022.72,791
14/Jan/2020,1002.58,763
21/Jan/2020,990.67999,689
28/Jan/2020,981.19,539
04/Feb/2020,981.19,453
11/Feb/2020,981.19,418
18/Feb/2020,910.58002,450
25/Feb/2020,887.71997,508
03/Mar/2020,875.76001,549
10/Mar/2020,871.15997,627
17/Mar/2020,911.84998,612
24/Mar/2020,898.04999,603
31/Mar/2020,889.79999,626
07/Apr/2020,890.37,596
14/Apr/2020,867.82001,679
21/Apr/2020,829.28998,728
28/Apr/2020,818.15997,655
05/May/2020,852.27002,575
12/May/2020,855.07001,433
19/May/2020,854.08002,453
26/May/2020,847.63,506
02/Jun/2020,920.38,546
09/Jun/2020,925.5,714
16/Jun/2020,1015.33,1054
23/Jun/2020,988.82001,1617
30/Jun/2020,1001.33,1799
07/Jul/2020,1055.13,1949
14/Jul/2020,1033.58,1742
21/Jul/2020,1035.61,1594
28/Jul/2020,1022.03,1264
04/Aug/2020,1103.47,1463
11/Aug/2020,1107.39,1510
18/Aug/2020,1167.91,1586
25/Aug/2020,1183.7,1518
01/Sep/2020,1263.26,1471
08/Sep/2020,1320.8,1328
15/Sep/2020,1320.8,1289
22/Sep/2020,1409.5699,1364
29/Sep/2020,1421.75,1658
06/Oct/2020,1443.54,2097
13/Oct/2020,1438.22,1732
20/Oct/2020,1448.87,1350
27/Oct/2020,1469.03,1413
03/Nov/2020,1529.99,1263
10/Nov/2020,1664.5601,1200
17/Nov/2020,1857.33,1112
24/Nov/2020,1938.3199,1178
01/Dec/2020,2048.27,1211
08/Dec/2020,2129.26,1121
15/Dec/2020,2311.71,1273
22/Dec/2020,2411.8201,1330
29/Dec/2020,2641.8701,1366
05/Jan/2021,2641.8701,1418
12/Jan/2021,2870.3401,1849
19/Jan/2021,2885,1766
26/Jan/2021,2868.95,1659
02/Feb/2021,2861.6899,1380
09/Feb/2021,2884.6101,1306
16/Feb/2021,2825.75,1495
23/Feb/2021,2875.9299,1727
02/Mar/2021,2775.29,1673
09/Mar/2021,2775.29,1901
16/Mar/2021,2637.53,2017
23/Mar/2021,2583.8701,2271
30/Mar/2021,2570.6799,2103
