date,med_developing,med_developed,med_Africa,med_Asia,med_America
15/Jan/2020,3.25,1.8,3.5999999,1.9,3.4400001
15/Feb/2020,3.3499999,1.84,3.74,2.49,4.27
15/Mar/2020,3.9400001,2.3299999,4.1599998,3.3399999,4.1399999
15/Apr/2020,4.4400001,3.4100001,4.3699999,3.71,4.6700001
15/May/2020,4.1900001,2.6500001,4.5100002,3.6099999,3.6600001
15/Jun/2020,3.5899999,2.79,4.0700002,,4.3600001
15/Jul/2020,3.9200001,2.1800001,4.0999999,2.6800001,4.7399998
15/Aug/2020,4.71,2,5.23,2.1300001,3.95
15/Sep/2020,4.2399998,2,6.1599998,2.3900001,4.1100001
15/Oct/2020,4.3200002,1.77,6.3000002,3.0699999,3.48
15/Nov/2020,4.25,1.51,5.6999998,2.22,3.8399999
15/Dec/2020,4.1599998,.76999998,5.3099999,2.8199999,4.3400002
15/Jan/2021,4.5999999,.36000001,4.5700002,1.48,5.6599998
15/Feb/2021,4.27,.1,5.0500002,1.36,5.5900002
15/Mar/2021,4.1799998,.050000001,4.71,1.46,4.3299999
15/Apr/2021,3.97,-.11,5.4899998,1.11,4.29
15/May/2021,4.2199998,.55000001,5,2.4100001,4.9000001
15/Jun/2021,4.5900002,.31999999,5.7199998,2.23,4.5900002
15/Jul/2021,4.8699999,1.1900001,6.29,1.92,4.9400001
15/Aug/2021,5.5100002,2.1600001,6.3600001,1.6799999,6.1599998
15/Sep/2021,5.4099998,2.9100001,6.4200001,1.76,8.1000004
15/Oct/2021,6.0700002,2.4300001,7.0500002,1.87,8.4200001
15/Nov/2021,6.1300001,3.49,7.2199998,2.4000001,7.9499998
15/Dec/2021,6.3000002,4.5100002,7.3099999,2.9100001,7.71
15/Jan/2022,7.1399999,5.0599999,8.5600004,3.5999999,8.96
15/Feb/2022,7.6900001,5.9499998,8.8299999,3.75,9.4499998
15/Mar/2022,7.6999998,7.4000001,7.9299998,4.04,11.62
15/Apr/2022,9.1400003,9.9099998,9.29,4.3299999,12.79
15/May/2022,10.12,10.66,11.46,5.21,13.55
15/Jun/2022,10.13,12.37,10.68,5.46,14.37
15/Jul/2022,11.96,13.33,12.72,6.2399998,14.64
15/Aug/2022,11.72,13.79,14.06,6.3200002,14.5
15/Sep/2022,11.72,14.54,14.19,6.8299999,13.55
15/Oct/2022,11.09,15.73,13.15,6.9899998,12.82
15/Nov/2022,12.14,15.44,14.38,5.71,13.81
15/Dec/2022,12.7,15.86,15.03,6.5700002,15.67
15/Jan/2023,12.75,15.93,14.05,6.6599998,15.53
15/Feb/2023,11.64,16.209999,14.05,6,14.17
15/Mar/2023,11.04,15.15,14.52,5.1599998,12.64
15/Apr/2023,10.31,13.03,13.45,5.4299998,10.76
15/May/2023,9.4099998,12.13,11.85,3.6700001,10.16
15/Jun/2023,8.5799999,11.63,11.73,3.9400001,10.06
15/Jul/2023,7.9699998,10.54,10.61,3.0999999,8.7600002
15/Aug/2023,8.1000004,9.7200003,9.9799995,3.75,8.21
15/Sep/2023,7.5799999,8.3299999,9.79,3.6700001,8.3000002
15/Oct/2023,6.46,6.8299999,9.3500004,3.72,6.4899998
15/Nov/2023,5.8099999,6.0100002,8.7600002,3.3800001,5.8699999
15/Dec/2023,5.7600002,5.0799999,7.5500002,3.3199999,6.0900002
15/Jan/2024,4.8000002,4.4099998,6.5300002,3.45,5.5599999
15/Feb/2024,4.5100002,2.74,4.4000001,2.8699999,5.0700002
15/Mar/2024,4.25,1.77,4.8699999,2.9200001,4.5300002
15/Apr/2024,4.1799998,1.3200001,4.1799998,3.01,4.6900001
15/May/2024,3.99,1.5,4.3400002,2.28,4.48
15/Jun/2024,4.2800002,1.4299999,4.48,1.97,4.5300002
15/Jul/2024,4.5599999,1.49,4.8499999,2.6099999,4.9099998
15/Aug/2024,4.3099999,1.9,5.1500001,2.54,5.0999999
15/Sep/2024,3.45,2.1700001,4.8899999,2.0599999,4.6700001
15/Oct/2024,3.4000001,2.74,4.5700002,2.29,4.8400002
15/Nov/2024,3.2,2.52,4.7399998,1.87,3.6199999
15/Dec/2024,3.5,2.6099999,4.5799999,1.78,3.54
15/Jan/2025,3.5699999,2.5999999,4.6999998,1.62,3.5699999
15/Feb/2025,3.8399999,2.99,4.5,1.83,3.8499999
15/Mar/2025,3.6700001,3.4400001,5.6199999,1.83,4.9200001
15/Apr/2025,3.74,3.7,5.6500001,1.64,4.3600001
15/May/2025,4.1599998,4.2800002,5.46,1.9,4.3899999
15/Jun/2025,4.1399999,4.6500001,5.2800002,1.85,4.1799998
15/Jul/2025,3.1900001,4.8400002,3.8299999,1.09,3.3399999
15/Aug/2025,2.97,4.8000002,3.48,1.08,3.0999999
15/Sep/2025,3.3,3.9400001,4.21,1.08,3.9400001
15/Oct/2025,2.9300001,3.72,3.3900001,.74000001,3.1199999
15/Nov/2025,3.1700001,3.26,3.6300001,1.04,3.5599999
15/Dec/2025,2.8,3.4300001,2.8,1.4400001,4.1599998
15/Jan/2026,2.52,,2.96,1.17,4.29
15/Feb/2026,2.4300001,,2.4300001,1.71,4.1599998
