date,europe,middleeast,russia
01/Jan/2019,53.139999,53.02,50.610001
02/Jan/2019,55.689999,53.830002,54.099998
03/Jan/2019,54.880001,54.880001,53.869999
04/Jan/2019,56.91,55.580002,56.279999
07/Jan/2019,58.490002,55.91,57.740002
08/Jan/2019,58.310001,57.279999,57.549999
09/Jan/2019,60.66,60.220001,60.099998
10/Jan/2019,61.470001,60.509998,61.110001
11/Jan/2019,60.73,59.5,59.880001
14/Jan/2019,60.290001,58.139999,59.439999
15/Jan/2019,60.02,59.709999,59.290001
16/Jan/2019,61.02,60.349998,60.450001
17/Jan/2019,60.919998,60.380001,60.490002
18/Jan/2019,62.68,62.02,62.68
21/Jan/2019,62.919998,62.040001,62.639999
22/Jan/2019,61.16,60.919998,61.540001
23/Jan/2019,61.130001,60.580002,61.689999
24/Jan/2019,61.040001,60.669998,61.73
25/Jan/2019,61.48,61.299999,62.130001
28/Jan/2019,59.799999,59.689999,60.349998
29/Jan/2019,61.389999,60.900002,61.619999
30/Jan/2019,62.330002,61.490002,62.380001
31/Jan/2019,62.279999,61.740002,62.950001
01/Feb/2019,62.16,62.759998,62.349998
04/Feb/2019,62.43,62.599998,62.75
05/Feb/2019,62.169998,62.049999,62.16
06/Feb/2019,62.709999,62.77,62.360001
07/Feb/2019,61.380001,61.790001,61
08/Feb/2019,61.869999,62.16,61.360001
11/Feb/2019,61.400002,61.610001,61.290001
12/Feb/2019,62.66,62.740002,62.57
13/Feb/2019,63.77,63.939999,63.259998
14/Feb/2019,64.160004,64.980003,63.990002
15/Feb/2019,65.949997,66.269997,65.639999
18/Feb/2019,66.57,66.360001,66.400002
19/Feb/2019,66.139999,66.32,65.849998
20/Feb/2019,67.07,67.220001,66.809998
21/Feb/2019,67.160004,67.43,66.900002
22/Feb/2019,67.260002,67.260002,66.900002
25/Feb/2019,64.879997,64.989998,63.860001
26/Feb/2019,65.370003,65.129997,64.300003
27/Feb/2019,66.550003,66.449997,65.239998
28/Feb/2019,66.029999,66.129997,64.720001
01/Mar/2019,65.220001,65.129997,63.400002
04/Mar/2019,65.889999,65.610001,64.129997
05/Mar/2019,65.800003,66,63.93
06/Mar/2019,65.690002,66.220001,64.199997
07/Mar/2019,66,66.059998,64.510002
08/Mar/2019,65.790001,65.480003,63.32
11/Mar/2019,66.360001,66.959999,64.75
12/Mar/2019,66.699997,66.940002,65.32
13/Mar/2019,67.199997,67.93,65.879997
14/Mar/2019,67.379997,67.269997,66.169998
15/Mar/2019,66.910004,67.239998,66.099998
18/Mar/2019,67.449997,67.279999,66.790001
19/Mar/2019,67.529999,67.589996,67.269997
20/Mar/2019,68.339996,68.379997,68.489998
21/Mar/2019,68.150002,67.589996,68.440002
22/Mar/2019,66.540001,66.93,66.43
25/Mar/2019,67.239998,67.040001,67.510002
26/Mar/2019,67.849998,67.529999,67.650002
27/Mar/2019,68.059998,67.269997,67.489998
28/Mar/2019,67.18,67.150002,66.769997
29/Mar/2019,68.559998,68.400002,68.620003
01/Apr/2019,68.93,68.480003,69.769997
02/Apr/2019,69.529999,68.959999,70.370003
03/Apr/2019,69.160004,68.860001,69.900002
04/Apr/2019,69.739998,69.050003,70.489998
05/Apr/2019,69.879997,69.860001,70.620003
08/Apr/2019,70.970001,70.449997,71.809998
09/Apr/2019,70.809998,69.980003,71.709999
10/Apr/2019,71.529999,70.790001,72.32
11/Apr/2019,71.400002,69.900002,71.989998
12/Apr/2019,71.720001,70.339996,72.160004
15/Apr/2019,71.150002,70.360001,71.489998
16/Apr/2019,71.339996,71.010002,71.330002
17/Apr/2019,71.889999,70.910004,71.730003
18/Apr/2019,71.910004,71.339996,71.300003
19/Apr/2019,71.910004,71.389999,71.300003
22/Apr/2019,71.910004,73.160004,71.300003
23/Apr/2019,72.080002,73.160004,73.910004
24/Apr/2019,74.589996,73.629997,74.839996
25/Apr/2019,75.150002,73.629997,76.089996
26/Apr/2019,71.980003,71.440002,71.93
29/Apr/2019,72.019997,71.650002,72.120003
30/Apr/2019,72.900002,72.370003,73.089996
01/May/2019,71.809998,71.309998,72.910004
02/May/2019,70.209999,70.239998,71.459999
03/May/2019,71.449997,70.029999,72.839996
06/May/2019,71.449997,68.75,72.839996
07/May/2019,70.389999,68.75,71.639999
08/May/2019,70.709999,68.910004,71.989998
09/May/2019,70.910004,68.910004,71.120003
10/May/2019,70.879997,69.379997,72.529999
13/May/2019,71.089996,68.889999,73.25
14/May/2019,71.379997,70.150002,73.43
15/May/2019,72.260002,70.550003,73.989998
16/May/2019,73.349998,71.720001,75.599998
17/May/2019,72.639999,71.190002,74.839996
20/May/2019,72.660004,70.879997,74.110001
21/May/2019,72.160004,70.970001,73.839996
22/May/2019,71.139999,69.589996,72.839996
23/May/2019,67.720001,65.790001,69.269997
24/May/2019,67.82,66.330002,68.870003
27/May/2019,67.82,67.730003,68.870003
28/May/2019,69.790001,67.870003,71.089996
29/May/2019,68.849998,67.120003,71.540001
30/May/2019,67.550003,64.610001,70.449997
31/May/2019,64.93,59.68,67.68
03/Jun/2019,61.5,59.57,62.810001
04/Jun/2019,61.900002,60.040001,63.209999
05/Jun/2019,60.450001,58.25,61.040001
06/Jun/2019,60.790001,59.279999,61.669998
07/Jun/2019,62.900002,60.869999,63
10/Jun/2019,63.16,60.16,63.060001
11/Jun/2019,62.720001,60.240002,62.110001
12/Jun/2019,61.009998,57.830002,60.209999
13/Jun/2019,61.779999,59.369999,61.220001
14/Jun/2019,62.240002,59.639999,61.080002
17/Jun/2019,61.790001,58.669998,60.5
18/Jun/2019,62.549999,59.860001,61.349998
19/Jun/2019,62.099998,59.810001,60.849998
20/Jun/2019,64.260002,62.830002,63.43
21/Jun/2019,65.339996,63.299999,63.990002
24/Jun/2019,64.349998,62.830002,63.16
25/Jun/2019,65.529999,62.799999,64.239998
26/Jun/2019,66.5,64.239998,64.849998
27/Jun/2019,66.43,64.510002,65.330002
28/Jun/2019,66.870003,64.199997,66.269997
01/Jul/2019,65.010002,63.139999,64.150002
02/Jul/2019,63.07,60.700001,61.970001
03/Jul/2019,63.189999,62.009998,62.779999
04/Jul/2019,63.549999,61.369999,62.869999
05/Jul/2019,64.080002,62.68,63.48
08/Jul/2019,64.739998,62.41,64.139999
09/Jul/2019,64.150002,62.66,63.549999
10/Jul/2019,66.160004,65.43,65.660004
11/Jul/2019,67,64.879997,66.889999
12/Jul/2019,66.800003,65.110001,65.889999
15/Jul/2019,66.760002,64.75,66.260002
16/Jul/2019,66.669998,62.599998,65.370003
17/Jul/2019,64.129997,62.18,63.419998
18/Jul/2019,61.82,60.759998,60.450001
19/Jul/2019,62.290001,61.299999,60.889999
22/Jul/2019,63.209999,62.080002,61.91
23/Jul/2019,63.220001,62.669998,62.330002
24/Jul/2019,64.220001,62.459999,63.880001
25/Jul/2019,63.77,62.779999,63.82
26/Jul/2019,63.259998,62.77,63.459999
29/Jul/2019,63.549999,62.950001,63.389999
30/Jul/2019,64.050003,63.759998,63.700001
31/Jul/2019,64.709999,64.349998,64.889999
01/Aug/2019,63.560001,58.91,64.199997
02/Aug/2019,62.07,60.380001,62.470001
05/Aug/2019,60.459999,58.27,60.669998
06/Aug/2019,59.84,57.41,59.98
07/Aug/2019,56.240002,55.189999,59.98
08/Aug/2019,57.540001,56.599998,57.689999
09/Aug/2019,58.619999,57.740002,58.77
12/Aug/2019,58.380001,57.689999,58.529999
13/Aug/2019,60.950001,60.040001,61.299999
14/Aug/2019,58.709999,58.27,58.259998
15/Aug/2019,58.32,57.240002,57.77
16/Aug/2019,58.650002,57.720001,59.400002
19/Aug/2019,59.389999,58.919998,60.740002
20/Aug/2019,59.48,59.360001,60.080002
21/Aug/2019,60.799999,59.860001,61.650002
22/Aug/2019,59.860001,59.470001,60.860001
23/Aug/2019,59.040001,58.639999,59.68
26/Aug/2019,59.040001,57.84,59.689999
27/Aug/2019,58.790001,58.779999,59.490002
28/Aug/2019,60.720001,59.580002,61.470001
29/Aug/2019,60.68,60.290001,61.639999
30/Aug/2019,60.48,58.889999,62.09
02/Sep/2019,58.299999,57.099998,59.599998
03/Sep/2019,57.73,56.419998,57.68
04/Sep/2019,60.48,58.619999,60.419998
05/Sep/2019,62.130001,58.98,62.290001
06/Sep/2019,60.759998,59.790001,60.880001
09/Sep/2019,62.84,60.73,63.59
10/Sep/2019,63.669998,60.5,64.269997
11/Sep/2019,62.220001,58.75,62.619999
12/Sep/2019,60.110001,58.220001,60.360001
13/Sep/2019,60.34,58.32,60.849998
16/Sep/2019,67.82,67.349998,68.019997
17/Sep/2019,65.540001,62.889999,65.190002
18/Sep/2019,64.190002,62.209999,63.889999
19/Sep/2019,64.449997,63.98,63.849998
20/Sep/2019,64.959999,63.709999,64.82
23/Sep/2019,64.389999,63.779999,64.260002
24/Sep/2019,63.880001,62.119999,63.73
25/Sep/2019,62.16,61.66,61.360001
26/Sep/2019,61.830002,61.939999,61.029999
27/Sep/2019,62.380001,61.009998,61.43
30/Sep/2019,60.889999,59.900002,59.939999
01/Oct/2019,59.360001,57.75,59.009998
02/Oct/2019,57.52,56.810001,56.869999
03/Oct/2019,57.360001,56.900002,56.959999
04/Oct/2019,58.509998,57.470001,58.080002
07/Oct/2019,59.34,57.740002,58.41
08/Oct/2019,58.02,57.34,57.09
09/Oct/2019,59.299999,57.299999,58.650002
10/Oct/2019,58.68,58.240002,58.029999
11/Oct/2019,60.490002,60.119999,59.540001
14/Oct/2019,58.91,59.02,57.759998
15/Oct/2019,59.330002,57.959999,58.139999
16/Oct/2019,59.32,58.57,58.25
17/Oct/2019,59,59.200001,58.290001
18/Oct/2019,59.610001,58.709999,58.91
21/Oct/2019,58.669998,58.290001,57.900002
22/Oct/2019,60.200001,58.860001,59.450001
