date,developing,Africa,Asia,America,med_developing,med_Africa,med_Asia,med_America
01/Jan/2019,191.22,222.9,185.716,208.055,101.265,103.906,103.321,100.05
02/Jan/2019,190.824,222.382,185.027,209.313,100.871,103.822,103.069,100.05
03/Jan/2019,190.505,222.555,184.545,209.681,100.85,103.864,102.98,100.05
04/Jan/2019,191.535,222.98,185.603,210.809,101.13,103.864,103.21,100.212
07/Jan/2019,191.406,223.306,185.446,210.641,101.13,103.864,103.378,100.109
08/Jan/2019,190.886,222.92,184.749,211.033,101.13,103.864,103.609,100.284
09/Jan/2019,191.234,223.457,185.012,211.764,101.13,103.779,103.773,100.3
10/Jan/2019,191.736,223.757,185.674,211.478,101.13,103.695,104.13,100.245
11/Jan/2019,191.7,223.28,185.671,211.444,101.408,103.653,103.737,100.182
14/Jan/2019,191.678,223.305,185.567,211.855,101.332,103.653,104.34,100.254
15/Jan/2019,191.613,223.244,185.539,211.581,101.438,103.528,104.281,100.404
16/Jan/2019,192.195,223.169,186.273,211.61,101.501,102.944,103.988,100.424
17/Jan/2019,191.927,223.369,185.997,211.195,101.207,102.986,104.056,100.421
18/Jan/2019,191.934,223.003,186.051,211.098,101.551,102.903,103.745,100.106
21/Jan/2019,191.787,223.151,185.89,210.905,100.971,102.903,103.785,100.106
22/Jan/2019,191.458,222.732,185.666,210.032,100.79,102.986,103.639,100.176
23/Jan/2019,192.026,223.021,186.21,210.854,100.975,102.986,103.717,100.176
24/Jan/2019,192.163,222.997,186.409,210.716,101.027,103.027,103.552,100.17
25/Jan/2019,192.525,223.26,186.815,210.885,101.514,103.027,103.545,100.176
28/Jan/2019,192.246,223.732,186.432,210.856,101.366,103.027,103.875,100.05
29/Jan/2019,192.473,223.854,186.585,211.529,101.366,102.986,103.957,100
30/Jan/2019,193.118,224.279,187.311,211.829,101.366,102.944,104.516,100.05
31/Jan/2019,193.785,224.386,187.984,212.694,101.366,102.944,104.589,100.05
01/Feb/2019,193.155,224.454,187.209,212.567,101.122,103.294,104.589,100.05
04/Feb/2019,193.014,224.545,187.054,212.404,101.514,102.903,104.502,100.047
05/Feb/2019,193.182,224.624,187.25,212.453,101.514,102.903,104.316,100.066
06/Feb/2019,192.97,224.081,187.122,211.924,101.366,102.903,104.42,100.097
07/Feb/2019,192.669,223.591,186.836,211.618,101.366,102.903,104.144,100.101
08/Feb/2019,192.787,223.641,187.005,211.485,101.366,102.903,103.603,100.122
11/Feb/2019,192.132,223.247,186.361,210.661,101.167,102.82,103.396,100.068
12/Feb/2019,192.616,223.149,186.838,211.432,101.288,102.862,103.413,100.095
13/Feb/2019,192.331,223.08,186.655,210.491,101.366,102.82,103.538,100.052
14/Feb/2019,192.353,222.767,186.594,211.114,101.271,102.631,103.848,100.05
15/Feb/2019,192.353,223.019,186.5,211.52,101.403,102.041,103.821,100.05
18/Feb/2019,192.152,223.06,186.324,211.079,101.361,102.041,103.68,100.05
19/Feb/2019,192.418,223.012,186.582,211.525,101.44,102.082,103.869,100.058
20/Feb/2019,192.53,223.109,186.743,211.376,101.44,102.041,104.089,100.05
21/Feb/2019,192.384,222.854,186.707,210.673,101.292,102.001,103.67,100.05
22/Feb/2019,192.558,222.846,186.818,211.26,101.421,102.001,103.603,100.05
25/Feb/2019,192.873,223.039,187.202,211.256,101.482,102.368,103.703,100.05
26/Feb/2019,192.775,222.811,187.083,211.324,101.528,102.655,104.009,100.05
27/Feb/2019,192.807,222.875,187.064,211.623,101.697,102.286,103.698,100.05
28/Feb/2019,192.594,222.563,186.923,211.06,101.544,102.286,103.636,100.05
01/Mar/2019,192.211,222.283,186.53,210.681,101.451,102.286,103.555,100.122
04/Mar/2019,192.177,222.248,186.497,210.649,101.559,102.286,103.603,100.05
05/Mar/2019,192.214,222.41,186.517,210.723,101.314,102.286,103.676,100.05
06/Mar/2019,191.858,222.116,186.283,209.678,101.402,102.286,103.37,100.05
07/Mar/2019,191.505,221.844,186.01,208.853,101.421,102.286,103.239,100.05
08/Mar/2019,191.634,221.953,186.167,208.837,101.292,102.368,103.198,100.05
11/Mar/2019,191.629,221.845,186.084,209.3,101.487,102.286,103.595,100.05
12/Mar/2019,191.824,222.023,186.207,209.895,101.636,102.286,103.778,100.05
13/Mar/2019,191.845,221.915,186.235,209.929,101.744,102.286,103.684,100.122
14/Mar/2019,191.653,221.823,186.083,209.476,101.821,102.286,103.584,100.05
15/Mar/2019,191.987,221.888,186.389,210.084,101.728,102.204,103.45,100.122
18/Mar/2019,192.084,222.348,186.361,210.707,101.744,102.204,103.432,100.05
19/Mar/2019,191.988,222.299,186.229,210.791,101.744,102.123,103.693,100.05
20/Mar/2019,192.528,222.79,186.773,211.324,101.673,101.96,103.464,100.05
21/Mar/2019,192.267,222.915,186.496,210.988,101.728,101.96,103.793,100.256
22/Mar/2019,190.421,222.736,184.557,208.956,101.719,101.96,103.563,100.05
25/Mar/2019,191.583,222.8,185.88,209.698,101.395,101.395,103.905,100.06
26/Mar/2019,192.484,222.515,187.125,209.211,101.475,101.475,104.15,100.053
27/Mar/2019,192.061,222.035,186.97,207.35,101.409,101.44,103.57,100.057
28/Mar/2019,190.986,222.09,185.41,208.455,101.13,101.44,104.008,100.078
29/Mar/2019,191.148,221.783,185.712,208.05,101.13,101.44,103.589,100.072
01/Apr/2019,191.756,222.708,186.118,209.628,101.405,101.44,103.6,100.05
02/Apr/2019,191.142,222.344,185.411,209.418,101.352,101.44,103.61,100.05
03/Apr/2019,191.208,222.565,185.49,209.348,101.44,101.44,103.498,100.05
04/Apr/2019,191.254,222.495,185.508,209.595,101.44,101.44,103.654,100.05
05/Apr/2019,191.052,222.379,185.276,209.519,101.44,101.44,103.708,100.066
08/Apr/2019,190.789,222.463,184.842,210.047,101.44,101.44,103.514,100.188
09/Apr/2019,190.87,222.446,184.94,210.075,101.44,101.44,103.339,100.188
10/Apr/2019,191.013,222.663,185.003,210.63,101.329,101.329,103.699,100.207
11/Apr/2019,190.68,222.582,184.688,210.091,101.44,101.44,103.535,100.263
12/Apr/2019,190.642,222.736,184.653,209.959,101.369,100.849,103.265,100.276
15/Apr/2019,190.405,222.402,184.396,209.864,101.44,101.44,103.811,100.229
16/Apr/2019,190.405,222.457,184.483,209.372,101.44,101.44,103.799,100.267
17/Apr/2019,190.7,222.737,184.893,209.04,100.923,100.923,103.742,100.387
18/Apr/2019,190.325,222.715,184.389,209.22,100.923,100.923,103.418,100.329
19/Apr/2019,190.329,222.659,184.387,209.283,101.13,100.923,103.418,100.329
22/Apr/2019,190.085,222.53,184.137,209.028,101.369,100.923,103.341,100.333
23/Apr/2019,189.942,222.3,183.988,208.951,100.926,100.923,103.187,100.362
24/Apr/2019,189.567,222.703,183.72,207.663,100.912,101.292,102.747,100.279
25/Apr/2019,189.181,222.465,183.169,208.124,100.901,100.901,102.529,100.273
26/Apr/2019,189.37,222.597,183.317,208.555,100.796,101.292,102.529,100.115
29/Apr/2019,189.271,223.068,183.225,208.186,101.146,101.181,102.703,100.115
30/Apr/2019,189.26,222.803,183.149,208.635,101.292,101.292,102.737,100.088
01/May/2019,189.265,222.568,183.185,208.567,101.292,101.292,102.539,100.115
02/May/2019,189.159,222.457,183.221,207.693,101.069,101.292,102.617,100.115
03/May/2019,189.338,222.618,183.297,208.441,101.292,101.292,102.577,100.115
06/May/2019,188.502,222.342,182.365,207.891,101.252,101.292,102.507,100.115
07/May/2019,188.065,222.41,181.858,207.629,101.2,101.44,102.606,100.115
08/May/2019,187.956,222.48,181.632,208.085,101.111,101.292,102.468,100.115
09/May/2019,187.481,222.515,181.106,207.67,100.795,101.292,102.218,100.115
10/May/2019,188.358,222.832,182.176,207.73,100.957,101.292,102.499,100.115
13/May/2019,187.466,223.042,181.178,206.958,100.775,101.292,102.388,100.154
14/May/2019,187.667,222.649,181.392,207.331,100.962,101.292,101.963,100.115
15/May/2019,187.772,222.66,181.55,207.185,100.775,101.07,102.027,100.151
16/May/2019,187.396,222.467,181.215,206.51,100.775,101.07,102.192,100.125
17/May/2019,186.95,222.161,180.814,205.756,100.787,101.07,101.908,100.186
20/May/2019,187.222,222.226,181.135,205.852,100.892,101.995,101.929,100.283
21/May/2019,187.222,222.076,181.008,206.612,100.782,100.782,101.83,100.059
22/May/2019,187.019,222.394,180.727,206.614,100.799,100.835,101.7,100.05
23/May/2019,187.011,222.381,180.752,206.426,100.795,101.44,101.579,100.05
24/May/2019,187.266,222.727,180.996,206.709,100.798,101.44,101.624,100.122
27/May/2019,187.314,222.968,181.089,206.423,100.798,101.292,101.766,100.05
28/May/2019,187.247,222.096,181.099,206.275,100.795,101.292,101.898,100.071
29/May/2019,187.349,222.036,181.094,207.028,100.775,101.292,101.821,100.025
30/May/2019,187.941,221.823,181.89,206.844,100.786,101.292,101.867,100.025
31/May/2019,188.229,221.998,182.242,206.83,100.787,101.292,101.854,100.032
03/Jun/2019,188.401,222.371,182.374,207.138,100.787,101.292,102.205,100.045
04/Jun/2019,188.684,222.013,182.574,208.142,100.625,101.292,102.258,100.066
05/Jun/2019,188.788,221.804,182.79,207.762,100.788,101.292,102.435,100.029
06/Jun/2019,188.595,221.583,182.58,207.675,100.799,101.292,102.325,100.073
07/Jun/2019,188.43,221.962,182.313,207.835,100.776,101.999,102.642,100.23
10/Jun/2019,188.531,222.21,182.347,208.242,100.63,100.324,102.598,100.208
11/Jun/2019,188.669,221.699,182.446,208.869,100.793,101.292,102.195,100.005
12/Jun/2019,188.531,221.755,182.316,208.607,100.651,101.292,102.321,100.05
13/Jun/2019,188.223,221.55,181.907,208.805,100.721,101.292,102.207,100.05
14/Jun/2019,187.868,221.487,181.571,208.22,100.799,101.44,102.193,100.05
17/Jun/2019,187.972,221.815,181.673,208.249,100.788,101.44,101.651,100.107
18/Jun/2019,188.467,221.881,182.191,208.799,100.776,100.901,101.624,100.34
19/Jun/2019,188.717,222.26,182.384,209.302,100.625,101.44,101.842,100.076
20/Jun/2019,189.315,222.617,183.067,209.543,101.023,101.44,102.029,100.076
21/Jun/2019,188.967,222.614,182.615,209.611,101.13,101.44,102.272,100.122
24/Jun/2019,189.047,222.775,182.731,209.463,101.272,101.44,102.515,100.019
25/Jun/2019,189.041,223.132,182.753,209.153,101.123,101.44,102.746,100
26/Jun/2019,189.096,222.795,182.806,209.381,101.041,101.44,102.876,99.994003
27/Jun/2019,189.191,223.098,182.861,209.606,100.861,101.44,103.097,100.05
28/Jun/2019,189.158,223.222,182.9,209.117,101.189,101.44,103.164,100.023
01/Jul/2019,189.916,223.009,183.822,209.386,101.321,101.44,102.989,100.032
02/Jul/2019,189.823,222.992,183.698,209.434,101.44,101.44,102.909,100.084
03/Jul/2019,189.955,223.163,183.791,209.758,100.849,100.849,103.103,100.05
04/Jul/2019,190.253,223.311,184.092,210.107,101.239,101.44,103.208,100.05
