date,emerging,europe,sp500
01/Jan/2019,59.976002,52.23,36.443001
02/Jan/2019,59.339001,51.806999,36.488998
03/Jan/2019,58.953999,51.505001,35.585999
04/Jan/2019,59.91,53.042999,36.806999
07/Jan/2019,60.716999,53.153999,37.064999
08/Jan/2019,60.563999,53.502998,37.424999
09/Jan/2019,61.737999,54.110001,37.577999
10/Jan/2019,62.001999,54.341,37.748001
11/Jan/2019,62.153999,54.167,37.742001
14/Jan/2019,61.632,53.867001,37.543999
15/Jan/2019,62.402,53.889,37.946999
16/Jan/2019,62.667999,53.955002,38.030998
17/Jan/2019,62.643002,53.897999,38.32
18/Jan/2019,63.202,54.827999,38.825001
21/Jan/2019,63.23,54.708,38.825001
22/Jan/2019,62.744999,54.431999,38.275002
23/Jan/2019,62.803001,54.495998,38.359001
24/Jan/2019,63.292,54.507,38.411999
25/Jan/2019,64.093002,55.049999,38.737999
28/Jan/2019,63.827,54.699001,38.433998
29/Jan/2019,63.931999,55.041,38.377998
30/Jan/2019,64.359001,55.313999,38.974998
31/Jan/2019,65.183998,55.608002,39.310001
01/Feb/2019,65.200996,55.747002,39.346001
04/Feb/2019,65.068001,55.589001,39.612
05/Feb/2019,65.306999,56.305,39.799
06/Feb/2019,65.093002,56.234001,39.709999
07/Feb/2019,64.690002,55.298,39.339001
08/Feb/2019,64.320999,54.858002,39.365002
11/Feb/2019,64.282997,55.069,39.393002
12/Feb/2019,64.700996,55.438999,39.901001
13/Feb/2019,64.682999,55.707001,40.021
14/Feb/2019,64.517998,55.458,39.915001
15/Feb/2019,63.987,56.182999,40.349998
18/Feb/2019,64.364998,56.507,40.349998
19/Feb/2019,64.379997,56.537998,40.41
20/Feb/2019,65.147003,56.992001,40.481998
21/Feb/2019,65.250999,56.818001,40.339001
22/Feb/2019,65.725998,56.900002,40.598
25/Feb/2019,66.283997,57.082001,40.647999
26/Feb/2019,66.115997,57.337002,40.616001
27/Feb/2019,65.888,57.299999,40.594002
28/Feb/2019,65.248001,57.341,40.479
01/Mar/2019,65.285004,57.557999,40.757999
04/Mar/2019,65.414001,57.362999,40.599998
05/Mar/2019,65.507004,57.367001,40.554001
06/Mar/2019,65.542,57.405998,40.289001
07/Mar/2019,64.789001,56.734001,39.962002
08/Mar/2019,63.955002,56.23,39.876999
11/Mar/2019,64.639,56.618999,40.462002
12/Mar/2019,65.282997,56.832001,40.581001
13/Mar/2019,65.218002,57.362,40.862999
14/Mar/2019,65.077003,57.780998,40.827999
15/Mar/2019,65.641998,58.282001,41.030998
