date,transits,DWT
01/Jan/2024,103,10.01
02/Jan/2024,118,10.92
03/Jan/2024,114,10.41
04/Jan/2024,114,10.38
05/Jan/2024,121,10.13
06/Jan/2024,95,7.4000001
07/Jan/2024,108,10.44
08/Jan/2024,101,8.1300001
09/Jan/2024,113,9.1999998
10/Jan/2024,114,9.8299999
11/Jan/2024,117,10.03
12/Jan/2024,126,11.06
13/Jan/2024,116,8.96
14/Jan/2024,114,8.9099998
15/Jan/2024,113,11.05
16/Jan/2024,114,10.09
17/Jan/2024,115,9.1199999
18/Jan/2024,103,8.2600002
19/Jan/2024,108,8.4099998
20/Jan/2024,117,7.9899998
21/Jan/2024,111,9.6899996
22/Jan/2024,115,9.6700001
23/Jan/2024,121,7.71
24/Jan/2024,107,9.6700001
25/Jan/2024,95,9.5200005
26/Jan/2024,124,11.61
27/Jan/2024,108,8.9700003
28/Jan/2024,110,9.04
29/Jan/2024,102,8.8000002
30/Jan/2024,92,7.8600001
31/Jan/2024,112,12.54
01/Feb/2024,126,10.25
02/Feb/2024,109,9.8599997
03/Feb/2024,100,9.0100002
04/Feb/2024,104,8.8500004
05/Feb/2024,99,8.54
06/Feb/2024,101,8.4700003
07/Feb/2024,138,11.8
08/Feb/2024,119,10.68
09/Feb/2024,110,8.7700005
10/Feb/2024,126,10.81
11/Feb/2024,120,11.32
12/Feb/2024,118,10.39
13/Feb/2024,105,9.3500004
14/Feb/2024,131,11.98
15/Feb/2024,128,10.18
16/Feb/2024,123,11.71
17/Feb/2024,104,8.46
18/Feb/2024,94,8.3800001
19/Feb/2024,109,9.6099997
20/Feb/2024,109,9.1899996
21/Feb/2024,111,9.9499998
22/Feb/2024,98,9.25
23/Feb/2024,134,10.73
24/Feb/2024,116,9.5
25/Feb/2024,111,10.72
26/Feb/2024,106,8.6800003
27/Feb/2024,116,9.2700005
28/Feb/2024,120,10.51
29/Feb/2024,112,9.4300003
01/Mar/2024,104,9.6099997
02/Mar/2024,100,7.6199999
03/Mar/2024,138,10.93
04/Mar/2024,140,13.33
05/Mar/2024,110,8.0299997
06/Mar/2024,102,9.0500002
07/Mar/2024,118,8.4700003
