date,value
15/Jan/2019,74.182999
15/Feb/2019,74.740997
15/Mar/2019,74.103996
15/Apr/2019,74.501999
15/May/2019,75.059998
15/Jun/2019,76.015999
15/Jul/2019,75.777
15/Aug/2019,74.740997
15/Sep/2019,74.263
15/Oct/2019,75.696999
15/Nov/2019,78.247002
15/Dec/2019,80.319
15/Jan/2020,81.672997
15/Feb/2020,79.362999
15/Mar/2020,75.857002
15/Apr/2020,73.625
15/May/2020,72.668999
15/Jun/2020,74.182999
15/Jul/2020,74.740997
15/Aug/2020,76.254997
15/Sep/2020,78.008003
15/Oct/2020,80.717003
15/Nov/2020,84.064003
15/Dec/2020,86.454002
15/Jan/2021,90.438004
15/Feb/2021,92.829002
15/Mar/2021,94.900002
15/Apr/2021,97.291
15/May/2021,102.311
15/Jun/2021,99.919998
15/Jul/2021,99.124001
15/Aug/2021,101.992
15/Sep/2021,102.869
15/Oct/2021,106.215
15/Nov/2021,107.888
15/Dec/2021,106.534
15/Jan/2022,108.127
15/Feb/2022,112.908
15/Mar/2022,127.649
15/Apr/2022,126.534
15/May/2022,126.454
15/Jun/2022,124.064
15/Jul/2022,112.829
15/Aug/2022,110.518
15/Sep/2022,109.402
15/Oct/2022,108.924
15/Nov/2022,108.367
15/Dec/2022,106.056
15/Jan/2023,104.701
15/Feb/2023,104.143
15/Mar/2023,101.992
15/Apr/2023,102.311
15/May/2023,99.203003
15/Jun/2023,98.008003
15/Jul/2023,99.124001
15/Aug/2023,97.052002
15/Sep/2023,96.972
15/Oct/2023,96.175003
15/Nov/2023,96.096001
15/Dec/2023,94.900002
15/Jan/2024,93.705002
15/Feb/2024,93.545998
15/Mar/2024,94.740997
15/Apr/2024,94.980003
15/May/2024,96.015999
15/Jun/2024,96.414001
15/Jul/2024,96.334999
15/Aug/2024,96.972
15/Sep/2024,99.282997
15/Oct/2024,101.116
15/Nov/2024,101.753
15/Dec/2024,101.434
15/Jan/2025,99.282997
15/Feb/2025,100.876
15/Mar/2025,101.355
15/Apr/2025,102.151
15/May/2025,101.275
15/Jun/2025,102.072
15/Jul/2025,103.426
15/Aug/2025,103.586
15/Sep/2025,102.47
15/Oct/2025,100.717
15/Nov/2025,99.761002
15/Dec/2025,99.203003
15/Jan/2026,98.884003
15/Feb/2026,100
15/Mar/2026,102.39
