date,diammonium,urea
01/Jan/2019,61.825001,59.021
08/Jan/2019,61.825001,58.695999
15/Jan/2019,61.825001,59.130001
22/Jan/2019,60.555,56.629002
29/Jan/2019,58.889,54.348
05/Feb/2019,58.333,52.390999
12/Feb/2019,56.825001,51.737999
19/Feb/2019,55.555,50.652
26/Feb/2019,54.365002,50.542999
05/Mar/2019,52.778,50.542999
12/Mar/2019,52.856998,51.412998
19/Mar/2019,53.492001,53.585999
26/Mar/2019,52.380001,52.933998
02/Apr/2019,53.412998,53.911999
09/Apr/2019,52.460999,55.542999
16/Apr/2019,52.460999,55.542999
23/Apr/2019,52.222,55.978001
30/Apr/2019,50.952,59.347
07/May/2019,50.952,56.411999
14/May/2019,50.158001,55.978001
21/May/2019,50.158001,57.064999
28/May/2019,51.030998,54.348
04/Jun/2019,50.873001,53.695
11/Jun/2019,50.873001,53.803001
18/Jun/2019,50.873001,53.911999
25/Jun/2019,50.396999,56.195
02/Jul/2019,50,55
09/Jul/2019,50,54.131001
16/Jul/2019,48.967999,55.978001
23/Jul/2019,48.571999,55
30/Jul/2019,47.222,56.521
06/Aug/2019,47.300999,56.304001
13/Aug/2019,46.825001,55.433998
20/Aug/2019,46.825001,55.433998
27/Aug/2019,45.396,53.695
03/Sep/2019,45.317001,55.433998
10/Sep/2019,45.317001,55.109001
17/Sep/2019,46.985001,55.216999
24/Sep/2019,45.634998,55.109001
01/Oct/2019,45.237999,54.891998
08/Oct/2019,44.841,53.261002
15/Oct/2019,44.207001,52.608002
22/Oct/2019,44.207001,51.737999
29/Oct/2019,42.459999,48.151001
05/Nov/2019,41.667,47.173
12/Nov/2019,38.889,46.521999
19/Nov/2019,38.889,45.652
26/Nov/2019,38.730999,45
03/Dec/2019,38.730999,45.108002
10/Dec/2019,38.730999,45
17/Dec/2019,38.570999,50.106998
24/Dec/2019,38.889,48.911999
31/Dec/2019,39.682999,49.999001
07/Jan/2020,39.682999,49.021
14/Jan/2020,40.396999,48.911999
21/Jan/2020,44.603001,48.369999
28/Jan/2020,44.445,46.521999
04/Feb/2020,44.523998,48.259998
11/Feb/2020,44.523998,49.564999
18/Feb/2020,44.523998,51.085999
25/Feb/2020,44.523998,53.261002
03/Mar/2020,44.523998,54.563999
10/Mar/2020,44.523998,57.935001
17/Mar/2020,44.523998,49.999001
24/Mar/2020,42.144001,51.630001
31/Mar/2020,43.174999,52.933998
07/Apr/2020,43.174999,55.978001
14/Apr/2020,43.810001,56.411999
21/Apr/2020,43.491001,51.955002
28/Apr/2020,41.667,50.435001
05/May/2020,41.508999,46.738998
12/May/2020,41.508999,45.433998
19/May/2020,41.508999,44.563999
26/May/2020,41.111,40.433998
02/Jun/2020,41.667,40.759998
09/Jun/2020,41.667,40.759998
16/Jun/2020,43.254002,44.347
23/Jun/2020,43.254002,42.390999
30/Jun/2020,43.254002,54.456001
07/Jul/2020,46.189999,43.912998
14/Jul/2020,49.762001,46.521999
21/Jul/2020,50,45.652
28/Jul/2020,50.952,48.369999
04/Aug/2020,50.792999,48.911999
11/Aug/2020,51.191002,53.911999
18/Aug/2020,55.555,52.174
25/Aug/2020,56.428001,50.652
01/Sep/2020,55.555,51.195999
08/Sep/2020,56.984001,50.652
15/Sep/2020,56.745998,49.782001
22/Sep/2020,54.365002,47.933998
29/Sep/2020,55.159,47.5
06/Oct/2020,56.27,47.280998
13/Oct/2020,56.27,47.280998
20/Oct/2020,56.27,47.280998
27/Oct/2020,55.078999,47.716999
03/Nov/2020,55.238998,48.369999
10/Nov/2020,55.238998,48.369999
17/Nov/2020,57.063,51.085999
24/Nov/2020,56.745998,53.261002
01/Dec/2020,60.555,54.021999
08/Dec/2020,60.317001,54.238998
15/Dec/2020,62.856998,53.261002
22/Dec/2020,62.301998,53.695
29/Dec/2020,62.459999,54.238998
05/Jan/2021,62.459999,54.238998
12/Jan/2021,62.301998,60.868999
19/Jan/2021,65.873001,70.109001
26/Jan/2021,74.206001,72.389999
02/Feb/2021,82.935997,79.348
09/Feb/2021,86.507004,74.455002
16/Feb/2021,82.142998,70.433998
23/Feb/2021,83.174004,76.629997
02/Mar/2021,82.539001,77.717003
09/Mar/2021,83.730003,79.348
16/Mar/2021,86.031998,81.195999
23/Mar/2021,85.318001,80.434998
30/Mar/2021,84.523003,82.064003
06/Apr/2021,84.920998,78.259003
13/Apr/2021,86.507004,81.521004
20/Apr/2021,81.746002,70.433998
27/Apr/2021,81.746002,72.718002
04/May/2021,87.301003,78.695
11/May/2021,90.475998,78.804001
18/May/2021,90.475998,80.976997
25/May/2021,91.667,83.911003
01/Jun/2021,92.619003,86.412003
08/Jun/2021,93.253998,92.933998
15/Jun/2021,95.635002,95.651001
22/Jun/2021,98.252998,93.151001
29/Jun/2021,98.015999,91.522003
06/Jul/2021,82.935997,78.695
13/Jul/2021,97.617996,94.021004
20/Jul/2021,96.824997,94.889999
27/Jul/2021,96.824997,95.107002
03/Aug/2021,96.030998,91.847
10/Aug/2021,94.841003,90.761002
17/Aug/2021,96.030998,93.586998
24/Aug/2021,95.237999,91.847
31/Aug/2021,96.985001,91.847
07/Sep/2021,99.207001,100.542
14/Sep/2021,104.762,107.608
21/Sep/2021,104.762,109.237
28/Sep/2021,106.349,127.716
05/Oct/2021,108.889,143.47701
12/Oct/2021,107.54,155.43401
19/Oct/2021,107.142,152.717
26/Oct/2021,107.142,152.172
02/Nov/2021,106.111,158.15199
09/Nov/2021,115.873,161.95599
16/Nov/2021,117.699,179.563
23/Nov/2021,118.413,180.97701
30/Nov/2021,118.413,180.97701
07/Dec/2021,118.413,166.302
14/Dec/2021,117.857,169.345
21/Dec/2021,116.666,171.19299
28/Dec/2021,115.079,168.69501
04/Jan/2022,114.286,161.95599
11/Jan/2022,113.888,151.086
18/Jan/2022,113.888,138.04201
25/Jan/2022,108.333,127.174
01/Feb/2022,107.142,122.281
08/Feb/2022,113.492,129.347
15/Feb/2022,118.254,116.848
22/Feb/2022,120.635,119.563
01/Mar/2022,138.88901,148.912
08/Mar/2022,143.651,156.521
15/Mar/2022,154.76199,183.69501
22/Mar/2022,151.58701,183.69501
29/Mar/2022,158.731,199.998
05/Apr/2022,158.731,192.93401
12/Apr/2022,151.58701,172.82401
19/Apr/2022,150.793,169.564
26/Apr/2022,150.793,169.564
03/May/2022,139.683,148.368
10/May/2022,138.09599,139.129
17/May/2022,138.09599,139.129
24/May/2022,130.952,139.673
31/May/2022,123.016,128.25999
07/Jun/2022,119.444,115.217
14/Jun/2022,122.222,110.868
21/Jun/2022,125.397,107.608
28/Jun/2022,119.444,117.39
05/Jul/2022,119.444,113.042
12/Jul/2022,124.206,111.413
19/Jul/2022,124.206,115.759
26/Jul/2022,124.206,108.695
02/Aug/2022,117.46,121.194
09/Aug/2022,119.841,131.52
16/Aug/2022,119.048,122.281
23/Aug/2022,117.857,122.825
30/Aug/2022,117.857,152.172
06/Sep/2022,117.857,150.541
13/Sep/2022,121.032,145.108
20/Sep/2022,119.841,144.564
27/Sep/2022,116.666,139.129
04/Oct/2022,115.873,134.23801
11/Oct/2022,115.873,138.04201
18/Oct/2022,115.873,134.782
25/Oct/2022,115.873,134.782
01/Nov/2022,115.873,129.88901
08/Nov/2022,111.111,120.108
15/Nov/2022,111.111,115.217
22/Nov/2022,111.111,115.217
29/Nov/2022,103.175,114.13
06/Dec/2022,103.175,114.13
13/Dec/2022,103.175,114.13
20/Dec/2022,103.175,114.13
27/Dec/2022,101.587,103.804
03/Jan/2023,101.587,103.804
10/Jan/2023,99.602997,90.216003
17/Jan/2023,99.207001,88.042999
24/Jan/2023,102.38,88.042999
31/Jan/2023,101.587,80.434998
07/Feb/2023,101.587,80.434998
14/Feb/2023,98.015999,68.477997
21/Feb/2023,98.015999,68.477997
28/Feb/2023,98.015999,68.477997
07/Mar/2023,98.015999,68.477997
14/Mar/2023,95.237999,65.760002
21/Mar/2023,95.237999,69.022003
28/Mar/2023,95.237999,69.022003
04/Apr/2023,91.667,66.304001
11/Apr/2023,96.030998,71.195
18/Apr/2023,104.762,80.434998
25/Apr/2023,100.793,80.434998
02/May/2023,96.030998,80.976997
09/May/2023,89.682999,78.259003
16/May/2023,89.682999,79.889999
23/May/2023,89.682999,79.889999
30/May/2023,73.015999,70.109001
06/Jun/2023,73.015999,64.128998
13/Jun/2023,73.015999,65.218002
20/Jun/2023,73.015999,65.218002
27/Jun/2023,73.015999,67.608002
04/Jul/2023,73.015999,67.608002
11/Jul/2023,73.015999,67.608002
18/Jul/2023,70.635002,71.086998
25/Jul/2023,73.809998,75
01/Aug/2023,79.364998,95.107002
08/Aug/2023,81.746002,84.780998
15/Aug/2023,84.523003,82.608002
22/Aug/2023,85.079002,75
29/Aug/2023,84.126999,75
05/Sep/2023,83.334,76.629997
12/Sep/2023,82.935997,88.584999
19/Sep/2023,82.935997,87.499001
26/Sep/2023,83.730003,83.477997
03/Oct/2023,83.730003,83.477997
10/Oct/2023,85.713997,85.325996
17/Oct/2023,84.920998,82.064003
24/Oct/2023,81.746002,78.259003
31/Oct/2023,85.318001,78.259003
07/Nov/2023,85.318001,78.259003
14/Nov/2023,84.523003,73.913002
21/Nov/2023,86.507004,70.651001
28/Nov/2023,85.318001,64.128998
05/Dec/2023,85.318001,64.128998
12/Dec/2023,88.889,71.737999
19/Dec/2023,88.889,66.304001
26/Dec/2023,88.889,66.304001
02/Jan/2024,88.889,66.304001
09/Jan/2024,91.268997,66.847
16/Jan/2024,94.445,67.932999
23/Jan/2024,92.858002,72.934998
30/Jan/2024,92.858002,76.629997
06/Feb/2024,91.667,77.717003
13/Feb/2024,91.667,75.761002
20/Feb/2024,91.667,76.847
27/Feb/2024,90.475998,75.324997
05/Mar/2024,96.429001,84.780998
12/Mar/2024,99.207001,84.238998
19/Mar/2024,103.969,83.695
26/Mar/2024,103.969,83.695
02/Apr/2024,103.969,83.695
09/Apr/2024,84.920998,70.109001
16/Apr/2024,84.126999,66.304001
23/Apr/2024,84.126999,66.304001
30/Apr/2024,75.397003,65.218002
07/May/2024,81.746002,61.956001
14/May/2024,81.746002,63.042999
21/May/2024,81.746002,63.042999
28/May/2024,83.334,63.042999
04/Jun/2024,83.334,63.042999
11/Jun/2024,84.920998,64.674004
18/Jun/2024,84.920998,66.304001
25/Jun/2024,85.713997,63.042999
02/Jul/2024,85.713997,66.847
09/Jul/2024,85.713997,64.128998
16/Jul/2024,85.713997,64.128998
23/Jul/2024,85.713997,64.128998
30/Jul/2024,85.713997,65.218002
06/Aug/2024,85.713997,66.847
13/Aug/2024,86.112,67.390999
20/Aug/2024,86.112,67.390999
27/Aug/2024,86.112,67.390999
03/Sep/2024,86.112,67.390999
10/Sep/2024,88.096001,67.932999
17/Sep/2024,88.096001,68.477997
24/Sep/2024,88.096001,68.477997
01/Oct/2024,88.096001,68.477997
08/Oct/2024,88.889,72.825996
15/Oct/2024,89.682999,72.281998
22/Oct/2024,89.682999,71.195
29/Oct/2024,89.682999,71.737999
05/Nov/2024,91.268997,69.022003
12/Nov/2024,91.268997,67.932999
19/Nov/2024,91.268997,67.932999
26/Nov/2024,91.268997,67.390999
03/Dec/2024,91.268997,67.390999
10/Dec/2024,88.889,69.022003
17/Dec/2024,89.682999,69.564003
24/Dec/2024,90.475998,70.109001
31/Dec/2024,90.475998,70.109001
07/Jan/2025,92.063004,73.369003
14/Jan/2025,92.063004,75.543999
21/Jan/2025,92.459999,76.629997
28/Jan/2025,92.459999,76.629997
04/Feb/2025,92.459999,76.629997
11/Feb/2025,93.651001,84.780998
18/Feb/2025,94.841003,88.042999
25/Feb/2025,94.841003,86.956001
04/Mar/2025,95.635002,86.412003
11/Mar/2025,97.617996,82.608002
18/Mar/2025,97.617996,82.608002
25/Mar/2025,97.617996,82.282997
01/Apr/2025,97.617996,82.390999
08/Apr/2025,98.413002,83.695
15/Apr/2025,100.793,83.695
22/Apr/2025,100.793,88.042999
29/Apr/2025,101.191,89.674004
06/May/2025,103.175,96.737999
13/May/2025,103.969,105.433
20/May/2025,103.969,102.173
27/May/2025,104.762,96.521004
03/Jun/2025,104.762,97.824997
10/Jun/2025,111.111,79.348
17/Jun/2025,111.904,77.172997
24/Jun/2025,111.904,81.521004
01/Jul/2025,112.699,83.695
08/Jul/2025,114.286,88.042999
15/Jul/2025,115.714,93.477997
22/Jul/2025,119.841,93.477997
29/Jul/2025,119.841,93.477997
05/Aug/2025,119.841,93.477997
12/Aug/2025,127.778,96.737999
19/Aug/2025,127.778,94.565002
26/Aug/2025,127.778,94.565002
02/Sep/2025,126.19,94.565002
09/Sep/2025,123.412,88.042999
16/Sep/2025,123.016,88.042999
23/Sep/2025,123.016,86.956001
30/Sep/2025,123.016,86.412003
07/Oct/2025,122.619,83.695
14/Oct/2025,122.222,82.608002
21/Oct/2025,122.222,82.608002
28/Oct/2025,122.222,82.064003
04/Nov/2025,122.222,82.608002
11/Nov/2025,120.635,85.870003
18/Nov/2025,120.635,84.780998
25/Nov/2025,105.555,82.608002
02/Dec/2025,104.762,79.348
09/Dec/2025,104.762,77.172997
16/Dec/2025,104.762,76.085999
23/Dec/2025,97.617996,82.608002
30/Dec/2025,97.617996,82.608002
06/Jan/2026,97.617996,85.870003
13/Jan/2026,97.617996,84.780998
20/Jan/2026,99.207001,88.042999
27/Jan/2026,98.808998,88.042999
03/Feb/2026,98.808998,89.129997
10/Feb/2026,100.793,98.911003
17/Feb/2026,100.397,100
24/Feb/2026,100,100
03/Mar/2026,99.207001,100
10/Mar/2026,103.969,127.716
17/Mar/2026,101.587,129.347
24/Mar/2026,102.778,136.955
31/Mar/2026,102.778,137.5
07/Apr/2026,111.508,149.99899
14/Apr/2026,118.254,152.172
21/Apr/2026,118.254,159.78101
28/Apr/2026,117.064,149.99899
05/May/2026,117.064,148.368
