date,asia,europe,us
01/Jan/2019,9.1000004,7.4699998,2.9400001
02/Jan/2019,9.1000004,7.4699998,2.96
03/Jan/2019,9.1000004,7.4099998,2.9400001
04/Jan/2019,9.1000004,7.6300001,3.04
07/Jan/2019,8.75,7.1799998,2.9400001
08/Jan/2019,8.75,7.4499998,2.97
09/Jan/2019,8.75,7.3099999,2.98
10/Jan/2019,8.75,7.4299998,2.97
11/Jan/2019,8.5,7.48,3.0999999
14/Jan/2019,8.5,7.3000002,3.5899999
15/Jan/2019,8.5,7.3699999,3.5
16/Jan/2019,8.5,7.4299998,3.3800001
17/Jan/2019,8.5,7.6399999,3.4100001
18/Jan/2019,8.1999998,7.5,3.48
21/Jan/2019,8.1999998,7.1900001,3.48
22/Jan/2019,8.1999998,7.25,3.04
23/Jan/2019,8.1999998,7.3200002,2.98
24/Jan/2019,8.1999998,7.1399999,3.0999999
25/Jan/2019,8,7.02,3.1800001
28/Jan/2019,8,6.8899999,2.9100001
29/Jan/2019,8,6.9400001,2.95
30/Jan/2019,8,6.7600002,2.8499999
31/Jan/2019,8,6.6599998,2.8099999
01/Feb/2019,7,6.4200001,2.73
04/Feb/2019,7,6.4400001,2.6600001
05/Feb/2019,7,6.3000002,2.6600001
06/Feb/2019,7,6.3899999,2.6600001
07/Feb/2019,6.8000002,6.27,2.55
08/Feb/2019,6.8000002,6.1500001,2.5799999
11/Feb/2019,6.8000002,6,2.6400001
12/Feb/2019,6.8000002,5.8899999,2.6900001
13/Feb/2019,6.8000002,6.0100002,2.5699999
14/Feb/2019,6.8000002,5.8800001,2.5699999
15/Feb/2019,6.5,5.9699998,2.6300001
18/Feb/2019,6.5,5.77,2.6300001
19/Feb/2019,6.5,5.9200001,2.6600001
20/Feb/2019,6.5,6.0300002,2.6400001
21/Feb/2019,6.5,5.79,2.7
22/Feb/2019,6.5,5.71,2.72
25/Feb/2019,6.1999998,5.6500001,2.8399999
26/Feb/2019,6.1999998,5.6900001,2.8499999
27/Feb/2019,6.1999998,5.9200001,2.8
28/Feb/2019,6.1999998,5.96,2.8099999
01/Mar/2019,6,5.8000002,2.8599999
04/Mar/2019,6,5.79,2.8599999
05/Mar/2019,6,5.7199998,2.8800001
06/Mar/2019,6,5.5999999,2.8399999
07/Mar/2019,6,5.5599999,2.8699999
08/Mar/2019,5.6999998,5.5100002,2.8599999
11/Mar/2019,5.6999998,5.4499998,2.77
12/Mar/2019,5.6999998,5.3099999,2.78
13/Mar/2019,5.6999998,5.1999998,2.8199999
14/Mar/2019,5.6999998,5.1799998,2.8499999
15/Mar/2019,5.4499998,5.0500002,2.79
18/Mar/2019,5.4499998,5.0799999,2.8499999
19/Mar/2019,5.4499998,4.98,2.8699999
20/Mar/2019,5.4499998,5.04,2.8199999
21/Mar/2019,4.6500001,4.8400002,2.8199999
22/Mar/2019,4.6500001,4.7800002,2.75
25/Mar/2019,4.6500001,4.71,2.75
26/Mar/2019,4.6500001,4.8400002,2.74
27/Mar/2019,4.6500001,4.9099998,2.72
28/Mar/2019,4.6500001,4.6999998,2.71
29/Mar/2019,4.4000001,4.7199998,2.6600001
01/Apr/2019,4.4000001,4.5799999,2.71
02/Apr/2019,4.4000001,4.4099998,2.6800001
03/Apr/2019,4.4000001,4.6799998,2.6800001
04/Apr/2019,4.4000001,4.9000001,2.6400001
05/Apr/2019,4.5,5.4299998,2.6600001
08/Apr/2019,4.5,5.1900001,2.71
09/Apr/2019,4.5,5.5700002,2.7
10/Apr/2019,4.5,5.1799998,2.7
11/Apr/2019,4.5,5.3200002,2.6600001
12/Apr/2019,5.25,5.2199998,2.6600001
15/Apr/2019,5.25,4.9200001,2.5899999
16/Apr/2019,5.25,4.98,2.5699999
17/Apr/2019,5.25,5.0599999,2.52
18/Apr/2019,5.4000001,4.77,2.49
19/Apr/2019,5.4000001,4.77,2.49
22/Apr/2019,5.4000001,4.7800002,2.52
23/Apr/2019,5.4000001,4.6999998,2.45
24/Apr/2019,5.4000001,4.6500001,2.46
25/Apr/2019,5.4000001,4.8499999,2.51
26/Apr/2019,5.3000002,4.6799998,2.5799999
29/Apr/2019,5.3000002,4.71,2.5899999
30/Apr/2019,5.3000002,4.6700001,2.5699999
01/May/2019,5.3000002,4.6399999,2.6199999
