date,pro_europe,pro_america,pro_middleeast,but_europe,but_america,but_middleeast
01/Jan/2019,409.38199,293.45999,430,362.14801,344.5415,420
08/Jan/2019,419.508,292.65601,,389.98999,356.06754,
15/Jan/2019,454.53799,306.32401,,402.20801,360.71408,
22/Jan/2019,463.11401,294.13535,,408.76199,375.612,
29/Jan/2019,461.70999,302.31473,440,426.67599,395.39151,470
05/Feb/2019,450.83401,292.12,,411.974,357.64951,
12/Feb/2019,468.16998,302.03598,,442.48801,384.42603,
19/Feb/2019,465.55399,341.96799,,469.11002,390.19351,
26/Feb/2019,449.164,334.60336,490,490.92001,359.79199,520
05/Mar/2019,462.38199,334.87137,,474.62601,360.01801,
12/Mar/2019,456.90799,345.18402,,481.95401,357.76703,
19/Mar/2019,460.14801,310.89072,,492.73401,341.60352,
26/Mar/2019,453.09799,297.88736,515,489.57199,336.07101,535
02/Apr/2019,466.28,297.48001,,474.77399,334.48001,
09/Apr/2019,466.51199,311.01938,,481.336,348.492,
16/Apr/2019,454.35199,294.95007,,485.85999,336.86655,
23/Apr/2019,457.46799,307.80334,,489.20001,346.01505,
30/Apr/2019,413.82599,288.36798,525,451.66199,306.34753,530
07/May/2019,403.20801,286.89935,,423.40201,296.62952,
14/May/2019,415.46799,282.21472,,422.45599,284.31705,
21/May/2019,414.13998,267.06735,,400.16,266.24606,
28/May/2019,385.522,260.496,430,366.91599,261.03,415
04/Jun/2019,357.784,222.18272,,338.49802,215.83,
11/Jun/2019,349.276,208.24672,,336.642,209.28505,
18/Jun/2019,382.418,205.15936,,347.866,223.966,
25/Jun/2019,374.284,199.66,375,348.41602,228.938,355
02/Jul/2019,374.612,186.25999,,344.31201,225.89153,
09/Jul/2019,376.52399,188.672,,364.70001,240.47304,
16/Jul/2019,367.68201,196.44402,,343.01401,227.81705,
23/Jul/2019,322.31799,193.76401,,331.50201,197.524,
30/Jul/2019,284.61801,201.804,370,286.83798,226.90401,360
06/Aug/2019,247.358,185.18799,,285.13199,220.01552,
13/Aug/2019,301.93799,166.16,,313.194,206.22952,
20/Aug/2019,301.53,169.108,,312.78,207.47704,
27/Aug/2019,309.522,191.63071,350,307.66,235.15753,360
03/Sep/2019,322.45599,198.32001,,336.59601,242.04599,
10/Sep/2019,322.82401,206.896,,349.452,242.50705,
17/Sep/2019,341.77802,218.15201,,374.47601,256.73599,
24/Sep/2019,346.422,213.59599,,386.82602,250.86,
01/Oct/2019,336.98001,208.91138,420,398.59,255.832,435
08/Oct/2019,376.28198,230.748,,432.46799,279.336,
15/Oct/2019,383.85602,226.46001,,437.134,282.73505,
22/Oct/2019,391.46201,229.40799,,439.414,275.04199,
29/Oct/2019,405.358,254.868,430,456.54401,296.28601,445
05/Nov/2019,399.10599,273.49936,,451.754,313.23602,
12/Nov/2019,422.21399,278.98801,,450.20798,341.93802,
19/Nov/2019,438.48001,280.328,,450.35202,335.38397,
26/Nov/2019,445.51199,287.832,440,450.94199,334.48001,455
03/Dec/2019,449.88,268.53598,,449.168,310.30704,
10/Dec/2019,448.28799,268.27872,,434.63599,320.694,
17/Dec/2019,483.07999,257.41937,,437.134,313.12753,
24/Dec/2019,520.74164,230.48,,443.17166,307.08127,
01/Jan/2020,516.79199,219.22401,565,475.392,312.11505,590
08/Jan/2020,550.69403,221.90401,,481.43799,320.47705,
15/Jan/2020,538.70599,207.17473,,500.98401,317.078,
22/Jan/2020,510.806,194.032,,453.14401,339.79553,
29/Jan/2020,478.51001,193.228,505,443.776,339,545
05/Feb/2020,389.93399,184.25536,,426.01401,293.80902,
12/Feb/2020,372.38,195.24335,,433.70001,290.87103,
19/Feb/2020,360.72,214.53937,,419.21399,308.3815,
26/Feb/2020,357.32401,199.392,430,360.29001,248.60001,480
04/Mar/2020,328.28799,177.01936,,312.94,201.70952,
11/Mar/2020,284.98999,153.30672,,216.8,158.65199,
18/Mar/2020,199.60201,116.848,,152.22,106.22,
25/Mar/2020,226.20801,127.97536,,137.72,122.38352,
01/Apr/2020,274.91202,140.85008,230,150.48,150.28999,240
08/Apr/2020,259.94601,166.43872,,122.378,160.46001,
15/Apr/2020,299.358,189.20799,,151.604,164.87151,
22/Apr/2020,265.51602,188.13599,,158.98801,155.26199,
29/Apr/2020,299.82401,191.62,340,204.638,149.16,340
06/May/2020,261.62,222.976,,192.24001,172.32951,
13/May/2020,290.56201,239.19536,,221.58,193.68199,
20/May/2020,312.47202,244.42673,,250.84,221.254,
27/May/2020,314.17599,241.2,350,263.58002,225.89153,330
03/Jun/2020,334.638,262.51138,,284.95999,254.476,
10/Jun/2020,339.258,262.104,,287.26001,249.504,
17/Jun/2020,341.806,267.87137,,321.06,248.26552,
24/Jun/2020,325.914,250.84799,,327.07999,214.48303,
01/Jul/2020,290.76199,247.89999,360,343.39999,223.17952,340
08/Jul/2020,287.40201,254.73936,,327.22,234.58801,
15/Jul/2020,294.22,257.29071,,311.48001,240.69,
22/Jul/2020,306.16199,264.784,,322.01999,253.23752,
29/Jul/2020,303.68399,253.27072,365,300.64001,235.15753,345
05/Aug/2020,329.23199,255.82208,,304.88,247.58752,
12/Aug/2020,327.11398,253.39937,,301.57999,254.702,
19/Aug/2020,335.07199,254.47137,,314.32001,262.83801,
26/Aug/2020,354.48801,253.14209,365,348.89999,269.17505,355
02/Sep/2020,296.298,238.79874,,333,276.06351,
09/Sep/2020,280.51401,227.13536,,330.45999,279.45352,
16/Sep/2020,311.332,244.96272,,367.48001,310.41553,
23/Sep/2020,312.16599,251.65201,,368.38,287.13751,
30/Sep/2020,338.76199,266.40271,375,378.67999,271.99551,380
07/Oct/2020,395.06601,286.23471,,387.88,288.71951,
14/Oct/2020,423.59,290.65137,,398.89999,291.88351,
21/Oct/2020,431.92401,288.23938,,396.32001,292.78754,
28/Oct/2020,416.44199,284.07999,430,379.29999,301.70999,440
04/Nov/2020,422.81198,289.172,,382.22,340.582,
11/Nov/2020,408.95001,289.04337,,351.07999,343.51999,
18/Nov/2020,400.81601,270.2941,,364.22,349.28754,
25/Nov/2020,424.99802,285.95599,450,399.28,377.87198,460
02/Dec/2020,418.896,294.8107,,408.16,360.81351,
09/Dec/2020,457.48001,299.90271,,434.72,371.43552,
16/Dec/2020,470.19998,336.07199,,450.13998,397.534,
23/Dec/2020,487.66,370.60574,,450.89999,453.29141,
01/Jan/2021,529.97198,405.49472,550,439.66,421.95102,530
08/Jan/2021,560.664,453.86337,,461.85999,390.754,
15/Jan/2021,560.35199,508.396,,450.22,409.96399,
22/Jan/2021,544.45801,444.07599,,459.17999,400.246,
29/Jan/2021,534.34601,463.90802,605,499.63998,427.36603,585
05/Feb/2021,560.586,506.51999,,519.88,412.05225,
12/Feb/2021,606.09601,494.19199,,518.59998,419.68201,
19/Feb/2021,628.242,642.664,,532.33997,443.186,
26/Feb/2021,627.38397,496.336,625,515.16003,482.96201,595
05/Mar/2021,660.65997,468.46402,,525.26001,459.57553,
12/Mar/2021,660.55402,465.24802,,524.79999,451.77399,
19/Mar/2021,632.96399,461.50671,,500.94,423.07199,
26/Mar/2021,628.50397,458.548,560,515.02002,436.40601,530
02/Apr/2021,604.68799,452.65198,,502.51999,411.32001,
09/Apr/2021,608.10999,405.35535,,494.06,376.40753,
16/Apr/2021,561.078,397.99072,,480.94,368.04553,
23/Apr/2021,545.45197,417.55472,,465.5,360.47,
30/Apr/2021,548.03802,438.716,495,476.20001,406.34799,475
07/May/2021,549.74402,436.30402,,482.17999,415.61398,
14/May/2021,550.56396,438.98401,,465.56,430.19553,
21/May/2021,555.22198,448.52481,,484.82001,441.37802,
28/May/2021,560.62201,458.69806,530,509.62003,458.78,525
04/Jun/2021,547.64001,475.164,,524.41998,497.65201,
11/Jun/2021,581.62598,508.26733,,538.58002,495.73553,
18/Jun/2021,581.02203,523.81134,,561.97998,517.992,
25/Jun/2021,592.836,530.64001,620,594.03601,550.53601,620
02/Jul/2021,624.80597,525.82672,,626.72003,565.90399,
09/Jul/2021,629.54602,526.62,,636.56,565.90399,
16/Jul/2021,609.92596,534.12402,,624.70001,554.83002,
23/Jul/2021,608.354,551.276,,652.35999,572.00604,
30/Jul/2021,589.77399,548.19934,660,650.14001,586.1355,655
06/Aug/2021,587.52002,564.95471,,643.29999,588.72998,
13/Aug/2021,644.68799,575.26733,,626.58002,604.66754,
20/Aug/2021,635.06,565.75873,,647.41998,586.36151,
27/Aug/2021,663.60999,582.90002,665,675,623.534,665
03/Sep/2021,714.96796,591.74402,,682.88,649.97601,
