date,biofuels,sgbfsptu
01/Jan/2019,72.685997,101.4405
02/Jan/2019,72.730003,101.502
03/Jan/2019,72.702003,101.4633
04/Jan/2019,73.597,102.7127
07/Jan/2019,75.040001,104.7257
08/Jan/2019,75.093002,104.7994
09/Jan/2019,75.584999,105.4868
10/Jan/2019,74.463997,103.9215
11/Jan/2019,75.025002,104.7044
14/Jan/2019,74.906998,104.5403
15/Jan/2019,75.166,104.9025
16/Jan/2019,75.394997,105.2219
17/Jan/2019,75.458,105.3095
18/Jan/2019,76.092003,106.1945
21/Jan/2019,76.092003,106.1945
22/Jan/2019,75.75,105.7166
23/Jan/2019,76.038002,106.1188
24/Jan/2019,75.945999,105.9901
25/Jan/2019,75.244003,105.0102
28/Jan/2019,76.087997,106.1885
29/Jan/2019,75.531998,105.4122
30/Jan/2019,75.664001,105.5973
31/Jan/2019,75.636002,105.5578
01/Feb/2019,75.432999,105.2742
04/Feb/2019,76.184998,106.3235
05/Feb/2019,76.369003,106.5805
06/Feb/2019,76.734001,107.0906
07/Feb/2019,76.052002,106.1387
08/Feb/2019,76.051003,106.1364
11/Feb/2019,75.517998,105.3925
12/Feb/2019,76.417,106.6478
13/Feb/2019,76.235001,106.3932
14/Feb/2019,75.375999,105.1952
15/Feb/2019,76.599998,106.9026
18/Feb/2019,76.599998,106.9026
19/Feb/2019,76.482002,106.7383
20/Feb/2019,76.914001,107.3416
21/Feb/2019,77.210999,107.7565
22/Feb/2019,77.471001,108.118
25/Feb/2019,76.181999,106.3197
26/Feb/2019,75.378998,105.1989
27/Feb/2019,75.321999,105.1201
28/Feb/2019,74.674004,104.215
01/Mar/2019,74.452003,103.9054
04/Mar/2019,73.908997,103.1475
05/Mar/2019,74.212997,103.5716
06/Mar/2019,73.098,102.0159
07/Mar/2019,72.344002,100.9631
08/Mar/2019,72.365997,100.9937
11/Mar/2019,72.305,100.9088
12/Mar/2019,73.134003,102.0663
13/Mar/2019,73.151001,102.0896
14/Mar/2019,73.412003,102.4533
15/Mar/2019,73.908997,103.1479
18/Mar/2019,74.417999,103.8575
19/Mar/2019,74.167,103.5072
20/Mar/2019,74.214996,103.5741
21/Mar/2019,73.964996,103.2251
22/Mar/2019,74.030998,103.3179
25/Mar/2019,74.065002,103.3647
26/Mar/2019,74.039001,103.3294
27/Mar/2019,73.859001,103.0782
28/Mar/2019,73.611,102.7322
29/Mar/2019,72.161003,100.7076
01/Apr/2019,73.000999,101.8807
02/Apr/2019,73.172997,102.1197
03/Apr/2019,72.746002,101.5246
04/Apr/2019,73.749001,102.9239
05/Apr/2019,73.806999,103.0052
08/Apr/2019,73.263,102.2463
09/Apr/2019,73.954002,103.2099
10/Apr/2019,74.457001,103.913
11/Apr/2019,74.223999,103.5872
12/Apr/2019,74.515999,103.9948
15/Apr/2019,74.224998,103.588
16/Apr/2019,73.472,102.5381
17/Apr/2019,73.016998,101.9029
18/Apr/2019,74.141998,103.4729
19/Apr/2019,74.141998,103.4729
22/Apr/2019,73.296997,102.293
23/Apr/2019,73.074997,101.9839
24/Apr/2019,72.620003,101.3493
25/Apr/2019,72.150002,100.6921
26/Apr/2019,72.306999,100.9114
29/Apr/2019,71.732002,100.1099
30/Apr/2019,71.570999,99.885002
01/May/2019,71.685997,100.0454
02/May/2019,71.893997,100.3361
03/May/2019,71.285004,99.485497
06/May/2019,70.426003,98.2864
07/May/2019,70.749001,98.737503
08/May/2019,69.883003,97.5289
09/May/2019,69.087997,96.419502
10/May/2019,68.873001,96.119904
13/May/2019,69.529999,97.036301
14/May/2019,70.946999,99.014
15/May/2019,70.928001,98.986801
16/May/2019,71.911003,100.3587
17/May/2019,71.435997,99.695602
20/May/2019,72.296997,100.8972
21/May/2019,72.904999,101.7461
22/May/2019,72.521004,101.2099
23/May/2019,71.781998,100.1785
24/May/2019,73.350998,102.3692
27/May/2019,73.350998,102.3692
28/May/2019,75.001999,104.673
29/May/2019,75.200996,104.9502
30/May/2019,76.515999,106.786
31/May/2019,76.365997,106.576
03/Jun/2019,76.449997,106.6935
04/Jun/2019,76.940002,107.3774
05/Jun/2019,75.404999,105.2357
06/Jun/2019,76.970001,107.4195
07/Jun/2019,76.674004,107.0069
10/Jun/2019,76.818001,107.2069
11/Jun/2019,78.328003,109.3141
12/Jun/2019,79.171997,110.492
13/Jun/2019,80.575996,112.4525
14/Jun/2019,81.198997,113.322
17/Jun/2019,81.494003,113.733
18/Jun/2019,81.035004,113.0926
19/Jun/2019,80.099998,111.7877
20/Jun/2019,80.739998,112.681
21/Jun/2019,79.718002,111.2546
24/Jun/2019,80.085999,111.7682
25/Jun/2019,80.175003,111.8925
26/Jun/2019,79.390999,110.7986
27/Jun/2019,80.113998,111.8075
28/Jun/2019,78.257004,109.2155
01/Jul/2019,77.184998,107.7197
02/Jul/2019,76.682999,107.0196
03/Jul/2019,78.679001,109.8045
04/Jul/2019,78.679001,109.8045
05/Jul/2019,78.111,109.012
08/Jul/2019,78.550003,109.6244
09/Jul/2019,77.742996,108.498
10/Jul/2019,78.304001,109.2816
11/Jul/2019,78.946999,110.1792
12/Jul/2019,79.566002,111.0429
15/Jul/2019,77.924004,108.7502
16/Jul/2019,77.198997,107.7384
17/Jul/2019,76.616997,106.9272
18/Jul/2019,75.108002,104.8207
19/Jul/2019,76.000999,106.0676
22/Jul/2019,74.954002,104.6057
23/Jul/2019,76.25,106.4141
24/Jul/2019,76.608002,106.9141
25/Jul/2019,76.107002,106.2151
26/Jul/2019,75.941002,105.9828
29/Jul/2019,76.292999,106.4746
30/Jul/2019,75.914001,105.9463
31/Jul/2019,74.846001,104.4557
01/Aug/2019,73.945,103.1984
02/Aug/2019,74.664001,104.2018
05/Aug/2019,74.456001,103.9113
06/Aug/2019,73.877998,103.104
07/Aug/2019,73.593002,102.7062
08/Aug/2019,74.835999,104.4408
09/Aug/2019,76.134003,106.253
12/Aug/2019,73.459,102.5192
13/Aug/2019,72.623001,101.3531
14/Aug/2019,71.980003,100.4558
15/Aug/2019,71.980003,100.4555
16/Aug/2019,72.754997,101.5375
19/Aug/2019,71.649002,99.993698
20/Aug/2019,70.980003,99.059601
21/Aug/2019,71.161003,99.311798
22/Aug/2019,71.561996,99.872398
23/Aug/2019,71.069,99.1838
26/Aug/2019,70.981003,99.0616
27/Aug/2019,70.276001,98.077904
28/Aug/2019,70.925003,98.982399
29/Aug/2019,70.628998,98.569702
30/Aug/2019,70.359001,98.193604
02/Sep/2019,70.359001,98.193604
03/Sep/2019,69.879997,97.525299
04/Sep/2019,69.352997,96.789703
05/Sep/2019,69.177002,96.5438
06/Sep/2019,69.030998,96.339699
09/Sep/2019,69.183998,96.554001
10/Sep/2019,70.195999,97.965202
11/Sep/2019,70.507004,98.399696
12/Sep/2019,71.672997,100.0263
13/Sep/2019,72.596001,101.3154
16/Sep/2019,74.151001,103.4851
17/Sep/2019,73.18,102.1305
18/Sep/2019,73.414001,102.4566
19/Sep/2019,73.334,102.345
20/Sep/2019,73.014,101.8979
23/Sep/2019,73.432999,102.4833
24/Sep/2019,73.967003,103.2291
25/Sep/2019,74.353996,103.769
26/Sep/2019,74.216003,103.5759
27/Sep/2019,74.017998,103.2991
30/Sep/2019,75.470001,105.3257
01/Oct/2019,76.223,106.377
02/Oct/2019,75.955002,106.0025
03/Oct/2019,76.036003,106.1166
04/Oct/2019,75.805,105.7935
07/Oct/2019,75.527,105.4053
08/Oct/2019,76.028999,106.1058
09/Oct/2019,75.759003,105.7301
10/Oct/2019,74.719002,104.2781
11/Oct/2019,76.232002,106.3894
14/Oct/2019,76.523003,106.7956
15/Oct/2019,76.503998,106.7687
16/Oct/2019,75.959,106.009
17/Oct/2019,76.078003,106.1752
18/Oct/2019,76.056999,106.1449
