date,developing,developed,Africa,Asia,America,months_developing,months_developed,months_Africa,months_Asia,months_America
31/Jan/2019,3615.52577,5223.99289,408.12587,2330.31829,877.08161,4.4000001,2.74,3.78,5.4699998,5.3699999
28/Feb/2019,3625.99363,5217.889480000001,405.57703,2338.48851,881.92808,4.3000002,2.73,3.74,5.0100002,5.52
29/Mar/2019,3673.77922,5234.305020000001,407.7173,2377.33054,888.7313800000001,4.3000002,2.8,3.8099999,4.8200002,5.4299998
30/Apr/2019,3685.90154,5242.01145,404.4736600000001,2384.309,897.11888,4.3299999,2.76,3.79,4.8200002,5.4400001
31/May/2019,3669.8296,5253.335440000001,402.93652,2370.1938,896.69928,4.3400002,2.71,3.78,4.8099999,5.3000002
28/Jun/2019,3712.81315,5409.73681,406.09443,2403.69312,903.0255999999999,4.5999999,2.8,3.8199999,4.96,5.4099998
31/Jul/2019,3706.82126,5404.49012,403.52743,2398.37675,904.9170800000001,4.5300002,2.72,4.0300002,4.98,5.4200001
30/Aug/2019,3721.26556,5499.6145,403.65479,2421.23872,896.3720500000001,4.5799999,2.8,3.8399999,5,5.4899998
30/Sep/2019,3692.56908,5450.49855,404.86534,2416.09568,871.6080700000001,4.4400001,2.72,3.75,5.0599999,5.2399998
31/Oct/2019,3699.41494,5519.33308,404.43307,2433.18561,861.79627,4.6100001,2.6700001,3.8099999,5.21,5.3299999
29/Nov/2019,3716.66656,5463.64214,403.79957,2455.54004,857.32696,4.75,2.6400001,3.72,5.2600002,5.1199999
31/Dec/2019,3748.18114,5573.61532,405.82548,2490.46339,851.8922700000001,4.8400002,2.71,3.9300001,5.5999999,5.4200001
31/Jan/2020,3775.75622,5617.991230000001,402.35948,2514.38805,859.00868,5.8899999,2.96,4.3400002,6.0300002,6.4699998
28/Feb/2020,3788.78549,5667.30066,397.99216,2530.64201,860.1513200000001,5.8099999,2.9400001,4.5300002,5.8600001,6.6300001
31/Mar/2020,3685.26098,5640.72115,385.02638,2460.40692,839.8276900000001,5.71,2.9400001,4.3699999,6.3200002,6.8600001
30/Apr/2020,3721.45447,5751.79068,391.20875,2476.45518,853.7905400000001,5.8200002,2.95,4.7399998,6.0500002,6.9400001
29/May/2020,3757.18329,5842.81228,389.87906,2503.38407,863.92016,5.9000001,2.98,4.6399999,6.02,7.0999999
30/Jun/2020,3785.95337,5946.92619,389.22976,2531.44426,865.2793399999999,5.9200001,3.0599999,4.6399999,6.6100001,7.2600002
31/Jul/2020,3884.64295,6212.66683,400.6787200000001,2605.31726,878.64697,6,3.23,4.9099998,6.4699998,7.5100002
31/Aug/2020,3909.77502,6229.2291,395.65084,2630.4767,883.64748,6.0799999,3.27,5.0599999,6.6799998,7.3200002
30/Sep/2020,3886.45984,6157.38244,390.93861,2608.20484,887.3164,6.1199999,3.3099999,5.0700002,6.8699999,7.29
30/Oct/2020,3907.39115,6168.161230000001,385.69156,2637.96316,883.7364200000001,6.0500002,3.22,5.0999999,6.7399998,7.6199999
30/Nov/2020,3936.92304,6149.331200000001,381.76542,2671.65453,883.5030800000001,5.9099998,3.28,5.02,7.0300002,7.3600001
31/Dec/2020,4021.44551,6344.939820000001,389.84454,2739.27228,892.3286900000001,6.2800002,3.3299999,5.2600002,7.3699999,7.48
29/Jan/2021,4036.77408,6308.48124,385.24047,2751.58157,899.95204,5.04,2.6099999,4.3200002,5.6199999,5.4200001
26/Feb/2021,4011.92452,6221.40916,376.65637,2740.56256,894.7055899999999,5.04,2.54,4.1999998,5.7800002,5.3800001
31/Mar/2021,3980.76296,6123.73666,376.21161,2716.21628,888.3350700000001,4.9499998,2.47,4.0799999,5.4499998,5.5500002
30/Apr/2021,4027.21929,6248.414070000001,380.80528,2750.28313,896.13088,5.1799998,2.6300001,4.2800002,5.9099998,5.77
31/May/2021,4070.44079,6385.81709,381.65378,2786.24902,902.53799,5.27,2.6400001,4.29,5.9099998,5.7600002
30/Jun/2021,4077.02529,6281.11875,382.02703,2797.50384,897.49442,5.23,2.6099999,4.29,6.0900002,5.96
30/Jul/2021,4111.76455,6355.218190000001,381.9217,2825.79804,904.0448100000001,5.1500001,2.5799999,4.4400001,6.0300002,5.98
31/Aug/2021,4280.14757,6766.42236,405.67765,2927.81683,946.65309,5.6300001,2.95,4.8600001,6.1900001,6.5300002
30/Sep/2021,4276.06545,6678.67843,409.62184,2917.42122,949.0224000000001,5.6900001,2.9200001,4.8800001,6.1500001,6.5500002
29/Oct/2021,4274.633610000001,6719.82445,408.80632,2917.51359,948.31371,5.6700001,3.0599999,4.8899999,6.1700001,6.4699998
30/Nov/2021,4282.3945,6719.43384,405.959,2926.63565,949.79985,5.4899998,2.8900001,4.8899999,6.3099999,6.3899999
31/Dec/2021,4267.459599999999,6791.06254,410.75119,2919.7332,936.9752099999999,5.71,3.01,4.8299999,6.3200002,6.3000002
31/Jan/2022,4227.60751,6696.776589999999,407.95821,2888.89072,930.7585700000001,4.6500001,2.49,4.02,5.0999999,5.1799998
28/Feb/2022,4247.11297,6764.4622,407.21188,2908.78547,931.11563,4.5999999,2.51,3.98,5.0900002,5.21
31/Mar/2022,4151.174660000001,6684.35045,397.4577,2824.41951,929.29745,4.5799999,2.6700001,3.8499999,5.3099999,5.3899999
29/Apr/2022,4096.02941,6506.861140000001,405.64402,2774.52682,915.8585700000001,4.6100001,2.3,4,5.2399998,5.2600002
31/May/2022,4061.57791,6487.10467,399.96317,2748.10186,913.51289,4.5900002,2.3800001,3.9300001,5.0799999,5.3000002
30/Jun/2022,3987.93292,6323.20055,392.28707,2693.60667,902.03917,4.5500002,2.4200001,3.8399999,5.0300002,5.27
29/Jul/2022,3938.85064,6285.834980000001,396.18649,2640.59962,902.06452,4.5,2.3699999,3.8699999,4.8699999,5.21
