date,med_developing,med_developed,med_Africa,med_Asia,med_America
15/Jan/2019,2.3499999,1.55,3.8800001,1.5,2.26
15/Feb/2019,2.53,1.5,3.8399999,1.74,2.3099999
15/Mar/2019,2.8199999,1.8,3.76,1.99,2.97
15/Apr/2019,2.75,1.95,3.24,2.1800001,2.8900001
15/May/2019,2.71,1.75,2.51,2.47,3.03
15/Jun/2019,2.3499999,1.7,2.3,1.89,2.78
15/Jul/2019,2.2,1.62,2.23,1.9299999,2.8299999
15/Aug/2019,2.26,1.5,2.7,1.75,2.74
15/Sep/2019,2.26,1.3,2.9000001,1.7,2.3800001
15/Oct/2019,2.25,1.3,2.4300001,1.41,2.51
15/Nov/2019,2.3399999,1.4,2.46,1.75,2.8599999
15/Dec/2019,2.5899999,1.52,2.5899999,2.3599999,2.8199999
15/Jan/2020,2.7,1.8,2.7,2.5599999,2.96
15/Feb/2020,2.8,1.63,3.55,2.48,2.8099999
15/Mar/2020,2.6199999,.88999999,3,2.5,2.3299999
15/Apr/2020,2.8599999,.33000001,3.3199999,2.51,1.88
15/May/2020,2.4000001,.15000001,3.2,2.4000001,1.5
15/Jun/2020,2.6199999,.64999998,3.4000001,2.55,1.89
15/Jul/2020,2.8800001,.72000003,3.3,2.8,1.91
15/Aug/2020,2.9000001,.63999999,3.4000001,2.4000001,1.79
15/Sep/2020,2.98,.52999997,4.0999999,2.55,1.89
15/Oct/2020,3.2,.66000003,4.3000002,2.49,1.74
15/Nov/2020,2.8399999,.44999999,3.4000001,2.8,2.1600001
15/Dec/2020,2.98,.41,3.52,2.8499999,2.0699999
15/Jan/2021,2.8299999,.60000002,3.5,2.6600001,2.74
15/Feb/2021,3.0999999,.60000002,3.9000001,2.45,2.77
15/Mar/2021,3.2,1.34,3.53,2.8399999,2.52
15/Apr/2021,3.98,2.0699999,4.3899999,3.7,2.79
15/May/2021,3.97,2.3,4.8000002,3.8199999,3.6600001
15/Jun/2021,4.0599999,2.4000001,5,3.55,3.8599999
15/Jul/2021,4.1900001,2.8800001,5.4499998,3.25,4.0500002
15/Aug/2021,4.8000002,3.2,5.8400002,3.1800001,4.6300001
15/Sep/2021,4.9400001,3.5999999,5.3800001,3.75,5.0999999
15/Oct/2021,5.0500002,4.1999998,5.8400002,3.9000001,5.6599998
15/Nov/2021,5.5900002,4.8099999,5.8000002,3.9000001,5.6700001
15/Dec/2021,5.6799998,5.3000002,6.1599998,4.7800002,5.8899999
15/Jan/2022,6.0300002,5.6999998,6.6399999,4.3200002,6.3299999
15/Feb/2022,6.3200002,6.4299998,7.0999999,4.7199998,6.6700001
15/Mar/2022,6.6900001,7,7.1999998,5.4899998,6.8899999
15/Apr/2022,7.3000002,8.3100004,7.5999999,5.3499999,7.8200002
15/May/2022,7.3499999,8.6499996,7.8299999,5.77,8.3999996
15/Jun/2022,7.7600002,9.1099997,8.2399998,6.6199999,9.0500002
15/Jul/2022,8.1499996,10.1,8.96,6.6399999,9.0900002
15/Aug/2022,8.46,9.8500004,9,6.5,8.8199997
15/Sep/2022,8.5299997,10.1,9.1999998,6.1300001,8.6599998
15/Oct/2022,8.1000004,10.9,9.3000002,5.8099999,8.2600002
15/Nov/2022,8.1000004,9.9799995,8.6999998,5.4699998,8.1300001
15/Dec/2022,8,10.2,9.1000004,5.5599999,8
15/Jan/2023,8.0500002,9.8999996,9.3000002,5.0599999,7.8699999
15/Feb/2023,7.4000001,8.9399996,9.1000004,4.8899999,7.2199998
15/Mar/2023,6.4099998,7.6199999,8.2399998,4.5100002,6.3000002
15/Apr/2023,5.8000002,7.23,7.9000001,3.6900001,5.6199999
15/May/2023,5.8000002,6.54,7.8899999,3.0899999,5.4699998
15/Jun/2023,4.9000001,6.3000002,6,3.05,4.77
15/Jul/2023,4.5300002,5.8600001,5.5999999,3.1099999,4.6100001
15/Aug/2023,4.0599999,5.3899999,5.1999998,3.0899999,4.1900001
15/Sep/2023,4.1799998,4.5300002,5.2800002,2.8800001,4.4299998
15/Oct/2023,4.3000002,3.8,5,3.1199999,4.3200002
15/Nov/2023,3.8499999,3.73,4.6999998,3.22,4.0999999
15/Dec/2023,3.8,3.74,4.3000002,3.49,3.72
15/Jan/2024,3.3800001,3.3499999,4.5,2.99,3.8099999
15/Feb/2024,3.5999999,3.1300001,4.3000002,3.4000001,3.5799999
15/Mar/2024,3.3800001,3.0899999,4.0999999,3,3.3900001
15/Apr/2024,3.3699999,2.8,3.5999999,3,3.4100001
15/May/2024,3.6099999,2.8,3.98,2.8399999,3.6800001
15/Jun/2024,3.8,2.5999999,4.4000001,2.5,3.8
15/Jul/2024,3.76,2.5999999,4.1999998,2.5,3.8699999
15/Aug/2024,3.48,2.2,4.3899999,2.1199999,3.5699999
15/Sep/2024,3.1099999,1.8,3.5999999,1.84,3.6500001
15/Oct/2024,2.8900001,2.2,3.3,1.9,3.5899999
15/Nov/2024,3.1099999,2.4000001,3.5999999,1.8,3.29
15/Dec/2024,3.0999999,2.6400001,3.9300001,2.02,3.5699999
15/Jan/2025,3.3,2.95,3.9000001,2.5,2.9000001
15/Feb/2025,3.4400001,2.9000001,4.0500002,2.45,3.24
15/Mar/2025,3.4100001,2.5999999,4.0999999,2.77,2.49
15/Apr/2025,3.1900001,2.5699999,3.99,2.3900001,2.79
15/May/2025,3.22,2.8,3.8,2.6600001,2.8699999
15/Jun/2025,3.26,2.95,3.8,2.3,3
15/Jul/2025,3.3,3.05,3.8,2.3800001,3.3
15/Aug/2025,3.23,2.9100001,3.7,2.3099999,2.75
15/Sep/2025,3.3399999,2.95,3.8499999,2.47,3.1900001
15/Oct/2025,3.4000001,3.0699999,3.6400001,2.5999999,3.3699999
15/Nov/2025,3.4000001,2.95,3.8,2.1500001,3.45
15/Dec/2025,3.28,2.8399999,3.74,2.0999999,3.28
15/Jan/2026,3.1199999,2.4300001,,2.4000001,2.9000001
15/Feb/2026,2.9000001,2.4400001,,2.5999999,2.8599999
15/Mar/2026,,3.05,,3.54,
